#
 0,    LINEAR/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.36
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 19.65
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.27
 0,    LINEAR/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3.18
#
 1,       LLM/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.10, 18.97
 1,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2.11
#
 2,    LINEAR/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.57
#
 3,       LLM/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 18.28
#
 4,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 291.61
#
 5,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 306.14
#
 6,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 384.07
 6,    LINEAR/explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2.47
#
 7,    LINEAR/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 2.83
#
 8,           exploit,20,  0.00,  0.01, *-                  |                   ,  0.00,  0.25, 1.36
 8,    LINEAR/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 2.96
 8,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 8,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 8,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 8,       LLM/explore,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.08, 18.23
 8,       LLM/explore,25,  0.00,  0.01, *-                  |                   ,  0.00,  0.08, 18.08
 8,       LLM/explore,30,  0.01,  0.01, *-                  |                   ,  0.00,  0.08, 18.67
#
 9,           explore,20,  0.01,  0.01, *--                 |                   ,  0.00,  0.22, 1.30
 9,           explore,30,  0.01,  0.01, *                   |                   ,  0.00,  0.06, 1.91
 9,                rrp,9,  0.01,  0.01, *-----              |                   ,  0.00,  0.24, 0.32
 9,           explore,25,  0.01,  0.01, *-                  |                   ,  0.00,  0.21, 1.43
#
10,         baseline,196,  0.26,  0.13, -------   * ------  |                   ,  0.00,  1.00, 0.00
