#
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 292.20
 0,    LINEAR/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.65
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 19.81
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 320.20
 0,    LINEAR/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.13
 0,       LLM/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 18.57
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 425.77
#
 1,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2.52
 1,    LINEAR/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.12
 1,       LLM/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 19.07
#
 2,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.05, 0.91
#
 3,    LINEAR/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1.29
 3,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1.78
 3,    LINEAR/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2.87
#
 4,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 4,    LINEAR/explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2.37
 4,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 0.00
 4,       LLM/explore,30,  0.00,  0.01, *                   |                   ,  0.00,  0.06, 17.84
 4,       LLM/explore,25,  0.00,  0.01, *-                  |                   ,  0.00,  0.08, 18.09
 4,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.08, 0.00
 4,           explore,20,  0.00,  0.01, *                   |                   ,  0.00,  0.06, 0.90
#
 5,           explore,30,  0.01,  0.01, *-                  |                   ,  0.00,  0.16, 2.02
#
 6,           explore,25,  0.01,  0.01, *                   |                   ,  0.00,  0.06, 0.78
 6,       LLM/explore,20,  0.01,  0.01, *-                  |                   ,  0.00,  0.06, 17.97
 6,                rrp,9,  0.01,  0.01, *-------            |                   ,  0.00,  0.25, 0.45
#
 7,         baseline,196,  0.25,  0.13, --------  *  ------ |                   ,  0.00,  1.00, 0.00
