#
 0,    LINEAR/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3.72
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 19.33
#
 1,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 277.58
#
 2,    LINEAR/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 3.07
#
 3,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 3,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1.81
#
 4,       LLM/explore,20,  0.00,  0.01, *-                  |                   ,  0.00,  0.07, 18.15
 4,                rrp,9,  0.01,  0.07, *  --------         |                   ,  0.00,  0.57, 0.34
 4,           explore,20,  0.01,  0.00, *--                 |                   ,  0.00,  0.21, 1.64
#
 5,         baseline,196,  0.26,  0.13, --------  *  -----  |                   ,  0.00,  1.00, 0.00
