#
 0,    LINEAR/exploit,20,  0.09,  0.06,  - *---             |                   ,  0.00,  0.20, 82.42
 0,       LLM/exploit,20,  0.10,  0.06,  -  *--             |                   ,  0.01,  0.21, 151.00
#
 1,           UCB_GPM,20,  0.11,  0.08,  -- * --            |                   ,  0.01,  0.22, 346.10
 1,           exploit,20,  0.14,  0.09,   -  *----          |                   ,  0.04,  0.27, 5.16
#
 2,            random,20,  0.15,  0.08,    --*  --          |                   ,  0.07,  0.28, 0.00
#
 3,               rrp,14,  0.15,  0.09,   --  *-------      |                   ,  0.01,  0.54, 64.84
 3,    LINEAR/explore,20,  0.16,  0.09,       * --          |                   ,  0.06,  0.28, 80.19
 3,       LLM/explore,20,  0.17,  0.04,     --*---          |                   ,  0.07,  0.32, 148.47
#
 4,           explore,20,  0.22,  0.11,    ---  * --        |                   ,  0.07,  0.32, 4.59
#
 5,       baseline,10000,  0.44,  0.16,          -----   *  |-----              ,  0.03,  1.00, 0.04
