#
 0,    LINEAR/exploit,20,  0.09,  0.05,  - * --             |                   ,  0.03,  0.21, 80.49
 0,           UCB_GPM,20,  0.11,  0.04,  -  *---            |                   ,  0.03,  0.23, 345.00
#
 1,       LLM/exploit,20,  0.12,  0.02,   --*---            |                   ,  0.03,  0.21, 156.16
#
 2,            random,20,  0.13,  0.09,    --*   --         |                   ,  0.07,  0.25, 0.00
 2,               rrp,14,  0.13,  0.11,   -- *   -----      |                   ,  0.03,  0.31, 64.03
 2,           exploit,20,  0.14,  0.10,   -- *   ---        |                   ,  0.03,  0.34, 4.70
 2,    LINEAR/explore,20,  0.17,  0.04,      - *---         |                   ,  0.03,  0.27, 80.15
#
 3,           explore,20,  0.17,  0.11,   ---  *  --        |                   ,  0.07,  0.28, 5.11
 3,       LLM/explore,20,  0.19,  0.11,     --  *  -        |                   ,  0.05,  0.29, 150.17
#
 4,       baseline,10000,  0.39,  0.16,           ----    * |  ----             ,  0.05,  0.81, 0.04
