#
 0,           UCB_GPM,20,  0.21,  0.07,  --*  -             |                   ,  0.16,  0.32, 350.91
#
 1,    LINEAR/exploit,20,  0.25,  0.05,   -- *---           |                   ,  0.14,  0.34, 80.53
#
 2,       LLM/explore,20,  0.28,  0.08,      -*   -         |                   ,  0.19,  0.43, 152.94
#
 3,           exploit,20,  0.29,  0.06,     - * ---         |                   ,  0.22,  0.47, 4.78
 3,               rrp,14,  0.29,  0.05,      - *-           |                   ,  0.20,  0.61, 65.91
 3,            random,20,  0.29,  0.08,     -- *  ----------|                   ,  0.17,  0.61, 0.00
 3,       LLM/exploit,20,  0.30,  0.03,  ----- *-           |                   ,  0.14,  0.36, 150.88
#
 4,    LINEAR/explore,20,  0.32,  0.10,    --   * --        |                   ,  0.16,  0.49, 79.46
#
 5,           explore,20,  0.36,  0.12,    ---    * --      |                   ,  0.19,  0.50, 5.41
#
 6,       baseline,10000,  0.59,  0.13,           ------    *-------------      ,  0.14,  1.00, 0.04
