#
 0,             LLM++,30,  0.01,  0.00, *                   |                   ,  0.01,  0.94, 2458.61
 0,           UCB_GPM,25,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 620.13
 0,           UCB_GPM,30,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 746.62
 0,            PI_GPM,25,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 644.27
 0,            PI_GPM,30,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 620.93
#
 1,            PI_GPM,20,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 505.57
 1,            EI_GPM,30,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 545.35
 1,           explore,20,  0.01,  0.00, *-------------------|-----------------  ,  0.00,  0.95, 7.23
 1,            EI_GPM,25,  0.01,  0.00, *                   |                   ,  0.01,  0.01, 651.32
 1,           explore,25,  0.01,  0.00, *-------------------|-----------------  ,  0.01,  0.95, 8.06
#
 2,           UCB_GPM,20,  0.01,  0.00, *                   |                   ,  0.01,  0.01, 445.28
 2,           explore,30,  0.01,  0.00, *-------------------|-----------------  ,  0.01,  0.94, 6.55
 2,            EI_GPM,20,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 495.98
 2,          LINEAR++,30,  0.01,  0.00, *                   |                   ,  0.01,  0.01, 264.34
#
 3,           exploit,30,  0.01,  0.01, *-------------------|-----------------  ,  0.00,  0.95, 6.02
 3,            random,20,  0.01,  0.00, *                   |                   ,  0.01,  0.02, 0.00
 3,            random,25,  0.01,  0.00, *                   |                   ,  0.01,  0.02, 0.00
 3,           exploit,20,  0.01,  0.94, *                   |                   ,  0.00,  0.95, 7.34
 3,            random,30,  0.01,  0.00, *                   |                   ,  0.01,  0.01, 0.00
 3,           exploit,25,  0.01,  0.94, *                   |                   ,  0.00,  0.96, 8.28
 3,               rrp,15,  0.02,  0.00, *-------------------|------------------ ,  0.01,  0.97, 10.56
#
 4,       baseline,13440,  0.96,  0.02, --------------------|-----------------* ,  0.01,  0.99, 0.02
