#
 0,             LLM++,30,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 1421.91
#
 1,            EI_GPM,30,  0.31,  0.06,       -----  * -----|                   ,  0.15,  0.45, 479.16
 1,           explore,25,  0.31,  0.07,           -  * ---  |                   ,  0.23,  0.41, 19.96
 1,           UCB_GPM,20,  0.31,  0.04,         ---  *-     |                   ,  0.10,  0.37, 378.73
 1,            EI_GPM,20,  0.31,  0.09,         ---- *    --|                   ,  0.18,  0.59, 399.64
 1,            PI_GPM,30,  0.32,  0.07,           -  * ---  |                   ,  0.19,  0.41, 506.46
 1,           exploit,25,  0.32,  0.06,           --  * --- |                   ,  0.24,  0.42, 20.20
 1,           exploit,30,  0.32,  0.07,        ----   *-----|-                  ,  0.19,  0.47, 19.41
 1,           explore,30,  0.32,  0.07,         ---   *     |                   ,  0.13,  0.44, 19.78
 1,            PI_GPM,20,  0.32,  0.06,          --   *---- |                   ,  0.20,  0.42, 399.31
 1,           UCB_GPM,25,  0.33,  0.05,          ---  *--   |                   ,  0.11,  0.39, 456.82
#
 2,            PI_GPM,25,  0.33,  0.05,        ------ * --  |                   ,  0.21,  0.40, 476.18
 2,           UCB_GPM,30,  0.33,  0.08,     -------   * --- |                   ,  0.13,  0.47, 566.70
 2,          LINEAR++,30,  0.34,  0.06,        -----   *--  |                   ,  0.16,  0.40, 1199.99
 2,           explore,20,  0.34,  0.05,           ---  *--- |                   ,  0.15,  0.43, 19.68
 2,           exploit,20,  0.35,  0.09,           -    * ---|                   ,  0.19,  0.43, 19.75
#
 3,            random,25,  0.35,  0.04,               -* ---|-                  ,  0.21,  0.45, 0.00
 3,            EI_GPM,25,  0.36,  0.07,           ---   * --|                   ,  0.22,  0.44, 501.02
#
 4,            random,30,  0.36,  0.06,              -- * --|                   ,  0.25,  0.44, 0.00
#
 5,            random,20,  0.40,  0.10,             --     *|--                 ,  0.27,  0.59, 0.00
#
 6,       baseline,65536,  0.44,  0.10,              -----  |*  ----            ,  0.10,  0.68, 0.08
#
 7,               rrp,17,  0.49,  0.14,                   --|   *    ---------- ,  0.25,  0.73, 50.35
