#
 0,            EI_GPM,30,  0.09,  0.00,    *                |                   ,  0.09,  0.09, 0.00
#
 1,            EI_GPM,20,  0.14,  0.00,      *              |                   ,  0.14,  0.14, 0.00
#
 2,           UCB_GPM,30,  0.16,  0.00,       *             |                   ,  0.16,  0.16, 0.00
#
 3,           UCB_GPM,20,  0.17,  0.00,       *             |                   ,  0.17,  0.17, 0.00
#
 4,            PI_GPM,25,  0.23,  0.00,          *          |                   ,  0.23,  0.23, 0.00
#
 5,            PI_GPM,30,  0.24,  0.00,          *          |                   ,  0.24,  0.24, 0.00
#
 6,           UCB_GPM,25,  0.25,  0.00,          *          |                   ,  0.25,  0.25, 0.00
#
 7,            PI_GPM,20,  0.25,  0.00,          *          |                   ,  0.25,  0.25, 0.00
#
 8,           exploit,25,  0.27,  0.17,      ---- *     ----|--                 ,  0.09,  0.84, 7.83
 8,           explore,20,  0.27,  0.21,       --- *      ---|--------           ,  0.15,  0.75, 10.00
 8,           explore,30,  0.30,  0.19,       ---  *     ---|---------          ,  0.15,  0.85, 8.01
 8,           explore,25,  0.31,  0.17,      ----   *   ----|-----              ,  0.09,  0.66, 8.52
#
 9,           exploit,30,  0.37,  0.17,        --     * ----|----               ,  0.11,  0.84, 8.08
 9,            random,30,  0.38,  0.16,       ----     * ---|                   ,  0.09,  0.66, 0.00
 9,           exploit,20,  0.40,  0.35,       ---       *   |  ------           ,  0.15,  0.78, 11.99
 9,             LLM++,30,  0.41,  0.16,       -----     *---|                   ,  0.00,  0.59, 5459.88
 9,            random,25,  0.41,  0.25,       ----      *   |---                ,  0.13,  0.66, 0.00
#
10,            EI_GPM,25,  0.44,  0.00,                  *  |                   ,  0.44,  0.44, 0.00
#
11,            random,20,  0.53,  0.11,                 -   |*--                ,  0.25,  0.68, 0.00
11,               rrp,15,  0.56,  0.18,          ---------  | *   ----          ,  0.16,  0.78, 30.14
#
12,       baseline,13485,  1.00,  0.00,                     |                  *,  0.99,  1.00, 0.02
