#
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            EI_GPM,25,  0.02,  0.00, *                   |                   ,  0.02,  0.02, 0.00
 0,           UCB_GPM,25,  0.02,  0.00, *                   |                   ,  0.02,  0.02, 0.00
 0,           UCB_GPM,30,  0.04,  0.00,  *                  |                   ,  0.04,  0.04, 0.00
 0,            EI_GPM,20,  0.05,  0.00,   *                 |                   ,  0.05,  0.05, 0.00
 0,            PI_GPM,30,  0.05,  0.00,   *                 |                   ,  0.05,  0.05, 0.00
 0,             LLM++,30,  0.06,  0.36,   *           ----  |                   ,  0.00,  0.49, 2766.34
 0,            PI_GPM,20,  0.08,  0.00,    *                |                   ,  0.08,  0.08, 0.00
 0,           exploit,25,  0.10,  0.82, -  *                |             ---   ,  0.00,  0.93, 4.39
 0,            EI_GPM,30,  0.10,  0.00,     *               |                   ,  0.10,  0.10, 0.00
 0,           exploit,20,  0.12,  0.82,  -  *               |                   ,  0.00,  0.93, 3.63
#
 1,           UCB_GPM,20,  0.19,  0.00,        *            |                   ,  0.19,  0.19, 0.00
#
 2,            random,30,  0.26,  0.09,    ----   *---------|                   ,  0.08,  0.92, 0.00
#
 3,            random,20,  0.27,  0.18,    ----   *   ------|                   ,  0.08,  0.90, 0.00
 3,            random,25,  0.33,  0.16,  --------    *  ----|                   ,  0.01,  0.51, 0.00
#
 4,               rrp,13,  0.35,  0.28, ------        *  ---|----------------   ,  0.02,  0.93, 4.00
#
 5,           explore,30,  0.45,  0.69,  ------           * |              --   ,  0.00,  0.93, 3.54
 5,           explore,25,  0.49,  0.60,    ------          *|            --     ,  0.00,  0.91, 4.59
#
 6,           explore,20,  0.61,  0.36,    -----------------|   *         --    ,  0.00,  0.92, 4.08
 6,           exploit,30,  0.87,  0.79, ---                 |             *-    ,  0.00,  0.94, 3.67
#
 7,        baseline,3456,  0.97,  0.03,                     |      -----------* ,  0.27,  1.00, 0.00
