#
 0,            EI_GPM,30,  0.76,  0.00,                     |    *              ,  0.76,  0.76, 0.00
#
 1,            PI_GPM,25,  0.79,  0.00,                     |      *            ,  0.79,  0.79, 0.00
#
 2,             LLM++,30,  0.89,  0.07,                     |     ----   *-     ,  0.76,  0.93, 11391.53
#
 3,            PI_GPM,30,  0.89,  0.00,                     |            *      ,  0.89,  0.89, 0.00
#
 4,            PI_GPM,20,  0.90,  0.00,                     |            *      ,  0.90,  0.90, 0.00
#
 5,           UCB_GPM,30,  0.90,  0.00,                     |             *     ,  0.90,  0.90, 0.00
#
 6,               rrp,18,  0.91,  0.02,                     |         ----*-    ,  0.47,  0.94, 551.52
 6,            random,20,  0.92,  0.02,                     |            -*-    ,  0.70,  0.96, 0.00
#
 7,           UCB_GPM,25,  0.92,  0.00,                     |              *    ,  0.92,  0.92, 0.00
#
 8,            EI_GPM,25,  0.92,  0.00,                     |              *    ,  0.92,  0.92, 0.00
 8,            random,30,  0.92,  0.02,                     |           -- *    ,  0.78,  0.94, 0.00
 8,            EI_GPM,20,  0.92,  0.00,                     |              *    ,  0.92,  0.92, 0.00
 8,            random,25,  0.93,  0.01,                     |            --*    ,  0.79,  0.96, 0.00
 8,           UCB_GPM,20,  0.93,  0.00,                     |              *    ,  0.93,  0.93, 0.00
 8,           exploit,25,  0.93,  0.05,                     |     -------- * -- ,  0.70,  0.99, 64.36
#
 9,           exploit,20,  0.93,  0.04,                     |             -* -- ,  0.85,  0.99, 64.02
 9,           exploit,30,  0.95,  0.04,                     |     --------- *-- ,  0.34,  0.99, 65.94
 9,           explore,30,  0.95,  0.03,                     |               *-- ,  0.70,  1.00, 66.62
 9,           explore,20,  0.95,  0.04,                     |              -* - ,  0.77,  1.00, 63.08
#
10,           explore,25,  0.97,  0.04,                     |              -  * ,  0.93,  0.99, 65.51
#
11,      baseline,166975,  0.98,  0.04,                     |              -- * ,  0.38,  1.00, 0.21
