#
 0,           exploit,30,  0.02,  0.04, -* ---              |                   ,  0.00,  0.11, 1.19
 0,            random,30,  0.03,  0.03, - *-                |                   ,  0.00,  0.11, 0.00
 0,           exploit,25,  0.04,  0.04,   * -               |                   ,  0.00,  0.14, 0.94
#
 1,     warm4/exploit,30,  0.05,  0.06,  - *                |                   ,  0.02,  0.13, 250.75
 1,               rrp,11,  0.06,  0.03,  - *--------        |                   ,  0.02,  0.63, 0.52
 1,     warm4/exploit,25,  0.06,  0.03,  - *---             |                   ,  0.01,  0.21, 250.61
 1,     warm4/exploit,20,  0.06,  0.04,  - *--              |                   ,  0.00,  0.18, 246.20
 1,           exploit,20,  0.06,  0.03,  - *---             |                   ,  0.01,  0.17, 0.70
#
 2,           explore,30,  0.06,  0.05,  - * ----           |                   ,  0.00,  0.17, 1.22
 2,            random,25,  0.07,  0.01,  -- *-              |                   ,  0.02,  0.10, 0.00
 2,            random,20,  0.07,  0.03,  -- *               |                   ,  0.00,  0.09, 0.00
 2,     warm4/explore,30,  0.08,  0.03,   - *--             |                   ,  0.03,  0.18, 252.10
 2,     warm4/explore,25,  0.08,  0.04,  -  *-----          |                   ,  0.01,  0.19, 252.42
 2,           explore,25,  0.08,  0.02,   -- *--            |                   ,  0.00,  0.19, 0.94
#
 3,           explore,20,  0.08,  0.04,   -  *-             |                   ,  0.01,  0.13, 0.70
 3,     warm4/explore,20,  0.08,  0.04,   -- * -------      |                   ,  0.02,  0.23, 247.76
#
 4,        baseline,1343,  0.20,  0.10,       ---   *   ----|                   ,  0.02,  0.47, 0.00
