#
 0,     warm4/exploit,20,  0.00,  0.00, *--                 |                   ,  0.00,  0.23, 251.54
 0,     warm4/exploit,25,  0.00,  0.00, *--------           |                   ,  0.00,  0.23, 254.27
 0,     warm4/exploit,30,  0.00,  0.06, * -------           |                   ,  0.00,  0.28, 251.13
#
 1,           exploit,25,  0.06,  0.22,   *                 |                   ,  0.00,  0.41, 0.49
 1,           exploit,30,  0.06,  0.13,   *  ----           |                   ,  0.00,  0.30, 0.63
#
 2,                rrp,9,  0.09,  0.16, -- *     ---        |                   ,  0.00,  0.30, 0.08
 2,     warm4/explore,25,  0.09,  0.22,    *     -----      |                   ,  0.00,  0.37, 254.02
 2,            random,30,  0.14,  0.15,   -  *              |                   ,  0.00,  0.31, 0.00
 2,           exploit,20,  0.19,  0.16, --     * -          |                   ,  0.00,  0.29, 0.37
 2,            random,25,  0.19,  0.19, --     *  --        |                   ,  0.00,  0.35, 0.00
#
 3,            random,20,  0.22,  0.15,    --    * -        |                   ,  0.00,  0.32, 0.00
 3,     warm4/explore,20,  0.23,  0.03, ---------*----      |                   ,  0.00,  0.37, 255.22
 3,           explore,25,  0.25,  0.10, --------- *  ----   |                   ,  0.00,  0.43, 0.50
 3,           explore,20,  0.28,  0.20,    ------  *     ---|                   ,  0.00,  0.54, 0.37
 3,           explore,30,  0.29,  0.08, ---------   *--     |                   ,  0.00,  0.37, 0.64
#
 4,     warm4/explore,30,  0.30,  0.13, ---------   * ----  |                   ,  0.00,  0.47, 251.46
#
 5,         baseline,206,  0.56,  0.23,             ------  |  *    -----       ,  0.00,  0.95, 0.00
