#
 0,        LLM/exploit,5,  0.07,  0.01,     -*--            |                   ,  0.06,  0.18, 16.18
 0,       LLM/exploit,25,  0.07,  0.02,     -*------        |                   ,  0.00,  0.32, 16.74
 0,       LLM/exploit,95,  0.07,  0.01,      *--            |                   ,  0.06,  0.11, 15.91
 0,       LLM/exploit,20,  0.07,  0.01,      *---           |                   ,  0.00,  0.14, 15.69
 0,       LLM/exploit,45,  0.07,  0.02,      * -            |                   ,  0.00,  0.17, 520.24
 0,       LLM/exploit,85,  0.07,  0.01,     -*-             |                   ,  0.00,  0.10, 15.84
 0,      LLM/exploit,100,  0.07,  0.01,     -*----------    |                   ,  0.00,  0.31, 15.85
 0,      LLM/exploit,135,  0.07,  0.01, -----*-             |                   ,  0.00,  0.17, 16.82
 0,      LLM/exploit,115,  0.07,  0.01,      *-             |                   ,  0.07,  0.12, 16.54
 0,       LLM/exploit,40,  0.08,  0.02,      *-             |                   ,  0.00,  0.23, 16.21
 0,       LLM/exploit,10,  0.08,  0.02,     -*--            |                   ,  0.00,  0.25, 15.78
 0,       LLM/exploit,30,  0.08,  0.02,      *--            |                   ,  0.06,  0.24, 16.47
 0,       LLM/exploit,90,  0.08,  0.01,     -*-             |                   ,  0.00,  0.17, 16.12
 0,      LLM/exploit,125,  0.08,  0.02,      *-             |                   ,  0.00,  0.11, 16.34
 0,      LLM/exploit,130,  0.08,  0.02,     -* -            |                   ,  0.06,  0.18, 15.78
 0,       LLM/exploit,50,  0.08,  0.02,     -* ---          |                   ,  0.00,  0.19, 15.76
 0,       LLM/exploit,60,  0.08,  0.01,     -*--            |                   ,  0.00,  0.13, 16.14
 0,       LLM/exploit,65,  0.08,  0.02,      * -------------|-                  ,  0.00,  0.32, 16.41
 0,       LLM/exploit,55,  0.08,  0.01,      *-             |                   ,  0.00,  0.10, 16.01
 0,       LLM/exploit,15,  0.08,  0.02,       *------       |                   ,  0.06,  0.18, 16.17
 0,      LLM/exploit,105,  0.08,  0.02,       *             |                   ,  0.00,  0.16, 16.56
 0,      LLM/exploit,120,  0.08,  0.02,       *-            |                   ,  0.06,  0.18, 16.54
 0,      LLM/exploit,140,  0.08,  0.01,       *------       |                   ,  0.06,  0.18, 15.67
 0,      LLM/exploit,150,  0.08,  0.02,     - *             |                   ,  0.06,  0.17, 16.07
 0,      LLM/exploit,110,  0.08,  0.02,       *             |                   ,  0.00,  0.12, 15.91
 0,       LLM/exploit,35,  0.09,  0.03,       *-----        |                   ,  0.06,  0.17, 16.48
 0,       LLM/exploit,70,  0.09,  0.02,       *--           |                   ,  0.07,  0.14, 16.59
 0,       LLM/exploit,80,  0.09,  0.04,       * -----       |                   ,  0.00,  0.34, 16.33
 0,      LLM/exploit,145,  0.09,  0.03,       *--           |                   ,  0.07,  0.12, 16.06
#
 1,       LLM/exploit,75,  0.09,  0.04,       * ------------|                   ,  0.00,  0.32, 15.95
 1,       LLM/explore,55,  0.09,  0.02,        *------      |                   ,  0.08,  0.23, 16.02
 1,      LLM/explore,130,  0.09,  0.06,      - *  ----------|--                 ,  0.00,  0.37, 16.17
 1,       LLM/explore,20,  0.10,  0.03,       -* ----       |                   ,  0.09,  0.31, 16.24
 1,       LLM/explore,85,  0.10,  0.04,      - * ---        |                   ,  0.00,  0.37, 16.35
 1,       LLM/explore,70,  0.10,  0.09,     -  *    --------|----               ,  0.00,  0.37, 16.21
 1,      LLM/explore,120,  0.10,  0.03,        *------------|---                ,  0.00,  0.41, 16.47
 1,      LLM/explore,115,  0.10,  0.06,      - *  ------    |                   ,  0.06,  0.38, 16.09
 1,      LLM/explore,150,  0.10,  0.04,      - * -----      |                   ,  0.06,  0.36, 16.37
 1,       LLM/explore,40,  0.11,  0.06,      -- *  -------  |                   ,  0.00,  0.24, 16.33
 1,       LLM/explore,65,  0.11,  0.05,       - *  ---------|                   ,  0.08,  0.39, 16.39
 1,       LLM/explore,95,  0.11,  0.03,      -- *-----      |                   ,  0.07,  0.40, 16.58
 1,       LLM/explore,50,  0.11,  0.04,         *---        |                   ,  0.07,  0.19, 16.27
 1,       LLM/explore,25,  0.11,  0.06,      -- *  ---      |                   ,  0.06,  0.37, 16.78
 1,      LLM/explore,135,  0.12,  0.04,       - *---        |                   ,  0.06,  0.16, 15.80
#
 2,       LLM/explore,80,  0.12,  0.04,       - *  ---------|------             ,  0.08,  0.40, 16.12
 2,        LLM/explore,5,  0.12,  0.02,       - *--         |                   ,  0.08,  0.16, 16.30
 2,       LLM/explore,30,  0.12,  0.03,       - * --        |                   ,  0.07,  0.18, 16.33
 2,      LLM/explore,100,  0.12,  0.06,      -  *  ---------|---                ,  0.06,  0.41, 15.84
 2,       LLM/explore,10,  0.12,  0.06,      --  *  ----    |                   ,  0.06,  0.24, 15.90
 2,      LLM/explore,125,  0.12,  0.04,      --  *----------|-                  ,  0.08,  0.34, 16.36
