#
 0,     warm4/exploit,25,  0.35,  0.11,   *                 |                   ,  0.32,  0.45, 252.20
 0,           exploit,30,  0.35,  0.02,   *------           |                   ,  0.32,  0.45, 0.62
 0,     warm4/exploit,30,  0.35,  0.08,   *   ---           |                   ,  0.32,  0.44, 251.80
#
 1,     warm4/exploit,20,  0.37,  0.10,    *    -           |                   ,  0.32,  0.45, 254.32
 1,           exploit,25,  0.37,  0.08,    *    -           |                   ,  0.32,  0.49, 0.49
#
 2,            random,30,  0.37,  0.05, --  * -             |                   ,  0.32,  0.42, 0.00
 2,            random,25,  0.38,  0.02,   --* ---           |                   ,  0.32,  0.45, 0.00
 2,            random,20,  0.40,  0.06,   -   * --          |                   ,  0.32,  0.49, 0.00
 2,           exploit,20,  0.40,  0.08,   -   *             |                   ,  0.32,  0.46, 0.37
 2,           explore,20,  0.40,  0.08, ---   *  ---        |                   ,  0.32,  0.52, 0.38
 2,     warm4/explore,25,  0.40,  0.11,       * -           |                   ,  0.32,  0.44, 250.14
 2,     warm4/explore,30,  0.40,  0.10,       * -           |                   ,  0.32,  0.44, 249.98
 2,           explore,25,  0.41,  0.08,   -   *             |                   ,  0.32,  0.46, 0.51
 2,           explore,30,  0.42,  0.08, --     *-           |                   ,  0.32,  0.45, 0.63
#
 3,     warm4/explore,20,  0.42,  0.04, ------  *           |                   ,  0.32,  0.44, 259.07
#
 4,                rrp,9,  0.47,  0.06,       ---- *  ----- |                   ,  0.38,  0.70, 0.08
#
 5,         baseline,196,  0.53,  0.09,         -----  *   -|-------            ,  0.32,  0.86, 0.00
