#
 0,           exploit,30,  0.35,  0.01, *------             |                   ,  0.35,  0.45, 0.88
#
 1,            random,25,  0.39,  0.05, -  * --             |                   ,  0.35,  0.45, 0.00
 1,            random,30,  0.39,  0.02, -- *---             |                   ,  0.35,  0.47, 0.00
 1,           exploit,25,  0.40,  0.10,    *   -            |                   ,  0.35,  0.48, 0.68
 1,            random,20,  0.40,  0.07, -   * -             |                   ,  0.35,  0.46, 0.00
#
 2,           exploit,20,  0.41,  0.10,     *  ---          |                   ,  0.35,  0.48, 0.50
 2,           explore,20,  0.41,  0.05, --   *--            |                   ,  0.35,  0.46, 0.51
 2,           explore,25,  0.42,  0.05,      * ------       |                   ,  0.35,  0.59, 0.69
 2,           explore,30,  0.44,  0.04,    -  *             |                   ,  0.35,  0.46, 0.88
 2,     warm4/exploit,25,  0.44,  0.04, ----   *            |                   ,  0.35,  0.47, 254.74
#
 3,     warm4/exploit,30,  0.45,  0.05, ----   *            |                   ,  0.35,  0.48, 248.23
 3,     warm4/explore,30,  0.45,  0.02,    --- *            |                   ,  0.37,  0.47, 246.21
#
 4,     warm4/exploit,20,  0.45,  0.03,    --  *-           |                   ,  0.35,  0.49, 257.02
 4,     warm4/explore,20,  0.45,  0.02,      --*            |                   ,  0.37,  0.52, 247.64
 4,     warm4/explore,25,  0.46,  0.02,    ---  *---        |                   ,  0.37,  0.51, 248.65
#
 5,                rrp,9,  0.52,  0.09,      ---     * -----|-----              ,  0.40,  0.70, 0.10
#
 6,         baseline,196,  0.53,  0.11,        -----  *     |-----              ,  0.35,  0.88, 0.00
