#
 0,           exploit,30,  0.33,  0.08, *    -              |                   ,  0.33,  0.50, 0.86
#
 1,           exploit,20,  0.35,  0.10,  *    ----          |                   ,  0.33,  0.50, 0.50
#
 2,           exploit,25,  0.35,  0.06,  * ---              |                   ,  0.33,  0.44, 0.69
#
 3,            random,30,  0.39,  0.04, -- * --             |                   ,  0.33,  0.49, 0.00
#
 4,            random,25,  0.41,  0.08,     * --            |                   ,  0.35,  0.47, 0.00
 4,           explore,25,  0.41,  0.05,      * ----         |                   ,  0.35,  0.54, 0.70
 4,            random,20,  0.42,  0.05,  --  *-             |                   ,  0.33,  0.45, 0.00
 4,           explore,20,  0.43,  0.05, ----  *-----        |                   ,  0.33,  0.52, 0.51
#
 5,           explore,30,  0.43,  0.04,  --   *             |                   ,  0.33,  0.47, 0.88
 5,     warm4/exploit,20,  0.43,  0.02,    -- *             |                   ,  0.33,  0.45, 246.31
 5,     warm4/explore,20,  0.43,  0.05,   --  *             |                   ,  0.35,  0.52, 251.20
 5,     warm4/exploit,25,  0.43,  0.00,    ---*             |                   ,  0.33,  0.48, 247.80
#
 6,     warm4/explore,25,  0.43,  0.01,      -*             |                   ,  0.39,  0.52, 247.60
 6,     warm4/exploit,30,  0.43,  0.05,  --   *---          |                   ,  0.33,  0.50, 250.01
 6,     warm4/explore,30,  0.43,  0.01,      -*             |                   ,  0.39,  0.47, 250.09
#
 7,                rrp,9,  0.46,  0.08,       - *   --------|---                ,  0.39,  0.70, 0.10
#
 8,         baseline,196,  0.54,  0.14,        ----  *      |---                ,  0.33,  0.93, 0.00
