#
 0,           exploit,25,  0.23,  0.09, *   ----            |                   ,  0.23,  0.70, 0.84
#
 1,           exploit,30,  0.23,  0.00, *---                |                   ,  0.23,  0.72, 1.06
#
 2,           exploit,20,  0.23,  0.09, *   ------          |                   ,  0.23,  0.87, 0.62
#
 3,     warm4/exploit,25,  0.31,  0.19,     *     ------    |                   ,  0.23,  0.66, 248.65
 3,            random,30,  0.31,  0.15,     *   --          |                   ,  0.23,  0.48, 0.00
#
 4,                rrp,9,  0.38,  0.13, ----    *  -----    |                   ,  0.23,  0.61, 0.16
#
 5,            random,20,  0.38,  0.07, ----    *---        |                   ,  0.23,  0.51, 0.00
#
 6,            random,25,  0.42,  0.13, ----      *-        |                   ,  0.23,  0.54, 0.00
 6,     warm4/explore,20,  0.45,  0.11, --------   * --     |                   ,  0.23,  0.64, 249.78
 6,     warm4/exploit,20,  0.45,  0.08,     ----   *----    |                   ,  0.23,  0.67, 251.04
 6,     warm4/exploit,30,  0.45,  0.20,            *   -----|-                  ,  0.23,  0.66, 247.88
 6,           explore,30,  0.45,  0.16,     ----    *   ----|                   ,  0.23,  0.70, 1.07
 6,           explore,25,  0.48,  0.13,     ------   *   ---|-                  ,  0.23,  0.68, 0.86
#
 7,     warm4/explore,25,  0.48,  0.21,     ----     *     -|                   ,  0.23,  0.66, 249.37
 7,     warm4/explore,30,  0.50,  0.14,         ----  *     |--                 ,  0.23,  0.70, 251.62
 7,           explore,20,  0.51,  0.16,         --     *   -|-----              ,  0.23,  0.76, 0.63
#
 8,         baseline,259,  0.72,  0.16,             --------|     *  ---------- ,  0.23,  0.97, 0.00
