#
 0,           exploit,30,  0.16,  0.01, *-----------        |                   ,  0.16,  0.52, 2.56
 0,           exploit,20,  0.18,  0.22,  *           ----   |                   ,  0.16,  0.59, 1.52
 0,           exploit,25,  0.18,  0.19,  *          ------- |                   ,  0.16,  0.59, 2.18
 0,               rrp,11,  0.19,  0.02, -*------------      |                   ,  0.16,  0.43, 1.17
#
 1,            random,20,  0.20,  0.18, --*         --      |                   ,  0.16,  0.41, 0.00
#
 2,            random,25,  0.20,  0.20,  -*          --     |                   ,  0.16,  0.44, 0.00
 2,           explore,30,  0.20,  0.20, --*          -------|-----              ,  0.16,  0.69, 2.55
#
 3,            random,30,  0.22,  0.20,  - *                |                   ,  0.16,  0.47, 0.00
#
 4,     warm4/exploit,20,  0.22,  0.21,  - *          --    |                   ,  0.16,  0.45, 279.89
#
 5,           explore,25,  0.38,  0.26, --           *   ---|----------         ,  0.16,  0.71, 2.02
#
 6,     warm4/exploit,25,  0.39,  0.24,              *  ----|----               ,  0.16,  0.64, 276.84
 6,     warm4/exploit,30,  0.40,  0.22,  -            *-----|-                  ,  0.16,  0.57, 276.19
#
 7,           explore,20,  0.41,  0.07,  -----------   *-   |                   ,  0.17,  0.46, 1.52
#
 8,     warm4/explore,30,  0.43,  0.06,   ------------  * --|------             ,  0.16,  0.63, 274.97
 8,     warm4/explore,25,  0.46,  0.09,   -------------  *  |--------           ,  0.16,  0.71, 276.98
 8,     warm4/explore,20,  0.46,  0.19,   ------------   *  |    -              ,  0.20,  0.68, 279.97
#
 9,        baseline,1023,  0.65,  0.30,    -------------    |        *    ---   ,  0.16,  0.83, 0.00
