#
 0,           UCB_GPM,30,  0.39,  0.06, *   -----           |                   ,  0.39,  0.54, 1329.45
#
 1,           UCB_GPM,20,  0.45,  0.12,     *   ----        |                   ,  0.39,  0.57, 2366.88
#
 2,             LLM++,20,  0.45,  0.07, ----*   ---         |                   ,  0.39,  0.58, 2063.05
#
 3,           exploit,20,  0.49,  0.03,     --* --------    |                   ,  0.39,  0.63, 9.34
 3,            random,30,  0.49,  0.08, ----- *   ---       |                   ,  0.39,  0.59, 0.00
#
 4,           exploit,30,  0.49,  0.07,      -*    -----    |                   ,  0.39,  0.63, 7.25
 4,               TPE,30,  0.51,  0.09, ----    *--         |                   ,  0.39,  0.60, 61.85
 4,             LLM++,30,  0.51,  0.07, ----    *-          |                   ,  0.39,  0.63, 2076.17
#
 5,               TPE,20,  0.52,  0.06,     --  * -----     |                   ,  0.39,  0.63, 75.66
#
 6,           explore,20,  0.55,  0.11,     --    *   ------|-                  ,  0.39,  0.74, 10.85
 6,           explore,30,  0.57,  0.05,      ----- *----    |                   ,  0.47,  0.66, 3.59
#
 7,            random,20,  0.58,  0.07,      ----   * --    |                   ,  0.45,  0.64, 0.00
#
 8,         baseline,196,  0.74,  0.11,              ------ |  *   ------------ ,  0.39,  1.00, 0.00
