#
 0,             LLM++,20,  0.25,  0.00, *                   |                   ,  0.25,  0.25, 2143.75
 0,           UCB_GPM,30,  0.25,  0.12, *     --            |                   ,  0.25,  0.45, 2155.69
 0,           exploit,30,  0.25,  0.25, *            -------|-----              ,  0.25,  0.75, 8.96
#
 1,             LLM++,30,  0.25,  0.00, *                   |                   ,  0.25,  0.25, 2150.66
#
 2,           UCB_GPM,20,  0.37,  0.20,       *   ---       |                   ,  0.25,  0.57, 2607.81
 2,            random,30,  0.37,  0.11, ----  *   ---       |                   ,  0.25,  0.50, 0.00
#
 3,           explore,30,  0.37,  0.17, ----  *             |                   ,  0.25,  0.75, 8.59
 3,           explore,20,  0.39,  0.13, ------ *     -      |                   ,  0.25,  0.75, 9.26
#
 4,               TPE,30,  0.39,  0.13, ------ *            |                   ,  0.25,  0.50, 203.62
#
 5,            random,20,  0.45,  0.13, ------    *  --     |                   ,  0.25,  0.54, 0.00
 5,           exploit,20,  0.45,  0.25,           *  ------ |                   ,  0.25,  0.71, 6.72
 5,               TPE,20,  0.50,  0.13, ------       *      |                   ,  0.25,  0.50, 110.67
#
 6,         baseline,398,  0.75,  0.16,              -----  |     *-------------,  0.25,  1.00, 0.00
