#
 0,             LLM++,30,  0.38,  0.10,   -  *   ---        |                   ,  0.33,  0.53, 2423.64
 0,             LLM++,20,  0.45,  0.10,   -      *---       |                   ,  0.33,  0.53, 2762.07
#
 1,           UCB_GPM,30,  0.47,  0.04,        -- * -       |                   ,  0.33,  0.54, 2502.20
#
 2,           UCB_GPM,20,  0.49,  0.04,        --- *-       |                   ,  0.33,  0.52, 2781.14
 2,            random,30,  0.49,  0.03,            *-       |                   ,  0.38,  0.52, 0.00
#
 3,           explore,20,  0.50,  0.03,          -- *       |                   ,  0.40,  0.59, 4.24
 3,               TPE,30,  0.50,  0.02,          -- *       |                   ,  0.43,  0.52, 921.53
#
 4,            random,20,  0.50,  0.01,           --*       |                   ,  0.42,  0.52, 0.00
 4,               TPE,20,  0.50,  0.03,          -- *       |                   ,  0.38,  0.52, 926.97
 4,           explore,30,  0.50,  0.04,       ----  *       |                   ,  0.28,  0.52, 3.81
#
 5,           exploit,30,  0.51,  0.02,           - *       |                   ,  0.38,  0.52, 3.83
 5,           exploit,20,  0.51,  0.01,            -*---    |                   ,  0.36,  1.00, 4.18
#
