#
 0,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
#
 1,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2765.44
#
 2,               TPE,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 942.64
#
 3,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3.76
#
 4,           explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3.78
#
 5,             LLM++,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2772.98
#
 6,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
#
 7,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2484.07
#
 8,               TPE,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 919.21
#
 9,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3.80
#
10,           explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3.80
#
11,             LLM++,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2434.64
#
