#
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 8755.59
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3419.66
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1835.08
 0,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1017.49
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 4110.32
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1156.26
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 4020.85
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3445.74
#
 1,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3916.07
 1,       gpt/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 214.75
 1,    gemini/exploit,30,  0.00,  0.01, *                   |                   ,  0.00,  0.01, 13.25
 1,    gemini/exploit,20,  0.00,  0.01, *                   |                   ,  0.00,  0.02, 111.96
 1,               rrp,13,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 26.39
#
 2,           exploit,30,  0.00,  0.01, *                   |                   ,  0.00,  0.03, 3.00
 2,       gpt/exploit,20,  0.00,  0.01, *                   |                   ,  0.00,  0.03, 326.41
 2,    gemini/exploit,25,  0.00,  0.01, *                   |                   ,  0.00,  0.03, 70.91
 2,       gpt/exploit,25,  0.00,  0.01, *                   |                   ,  0.00,  0.03, 264.18
 2,       gpt/explore,25,  0.00,  0.01, *                   |                   ,  0.00,  0.03, 263.81
 2,           exploit,20,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 24.86
 2,       gpt/explore,30,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 214.64
 2,           exploit,25,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 12.51
 2,               TPE,30,  0.01,  0.00, *                   |                   ,  0.00,  0.02, 295.07
#
 3,            random,30,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 0.00
 3,            random,25,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 0.00
 3,               TPE,20,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 1773.47
 3,    gemini/explore,25,  0.01,  0.02, *                   |                   ,  0.00,  0.04, 67.02
 3,               TPE,25,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 1719.22
 3,    gemini/explore,20,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 115.68
#
 4,    gemini/explore,30,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 13.69
 4,            random,20,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 0.00
 4,       gpt/explore,20,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 325.60
 4,           explore,30,  0.01,  0.01, *                   |                   ,  0.00,  0.04, 2.68
#
 5,           explore,25,  0.02,  0.02, *                   |                   ,  0.00,  0.05, 13.31
 5,           explore,20,  0.02,  0.02, *-                  |                   ,  0.00,  0.07, 24.86
#
 6,        baseline,3456,  0.03,  0.03, -*---------------   |                   ,  0.00,  0.73, 0.02
