#
 0,           UCB_GPM,20,  0.08,  0.09,   *  ---            |                   ,  0.05,  0.25, 2888.12
 0,            PI_GPM,25,  0.08,  0.08,   * ---             |                   ,  0.02,  0.45, 2838.13
 0,            EI_GPM,20,  0.08,  0.07,   * ----            |                   ,  0.05,  0.23, 3010.46
 0,           UCB_GPM,25,  0.09,  0.07,   * --              |                   ,  0.03,  0.19, 2749.14
 0,            EI_GPM,25,  0.09,  0.09,   *  ---            |                   ,  0.05,  0.28, 7625.28
 0,            EI_GPM,30,  0.09,  0.07,   * --              |                   ,  0.05,  0.22, 1898.92
 0,           UCB_GPM,30,  0.10,  0.13,    *                |                   ,  0.05,  0.24, 2683.92
 0,            PI_GPM,30,  0.10,  0.08,    * --             |                   ,  0.03,  0.22, 2768.41
 0,            PI_GPM,20,  0.15,  0.11,      *-             |                   ,  0.03,  0.22, 2951.10
#
 1,               TPE,30,  0.15,  0.15,  --  *   ----       |                   ,  0.03,  0.41, 897.01
 1,            random,30,  0.16,  0.13,  --- *    ---       |                   ,  0.03,  0.39, 0.00
 1,       gpt/exploit,20,  0.20,  0.19,  --    *   ---------|                   ,  0.05,  0.54, 259.75
 1,               TPE,25,  0.20,  0.24,  ---   *     ---    |                   ,  0.03,  0.48, 1604.43
#
 2,           explore,25,  0.20,  0.23,   ---  *      ----- |                   ,  0.06,  0.58, 18.00
 2,       gpt/explore,30,  0.21,  0.28,   --   *       -----|                   ,  0.05,  0.56, 223.43
 2,       gpt/exploit,30,  0.21,  0.27, ----   *       ---  |                   ,  0.02,  0.50, 225.34
 2,           exploit,20,  0.24,  0.31,  ---    *       --  |                   ,  0.03,  0.49, 15.06
 2,           exploit,30,  0.24,  0.29,  ----   *        -- |                   ,  0.03,  0.52, 6.70
 2,            random,25,  0.26,  0.21,    ---   *     ---- |                   ,  0.03,  0.49, 0.00
 2,       gpt/explore,25,  0.26,  0.24,    --    *    ------|-                  ,  0.05,  0.58, 257.73
 2,    gemini/exploit,30,  0.27,  0.22,   ----    *    ---  |                   ,  0.05,  0.48, 22.49
 2,    gemini/explore,25,  0.29,  0.30,  ----     *      ---|                   ,  0.03,  0.71, 66.24
 2,               rrp,12,  0.29,  0.28,    ----   *       --|-                  ,  0.05,  0.73, 13.03
#
 3,            random,20,  0.29,  0.16,    ----   *   ------|                   ,  0.08,  0.53, 0.00
 3,               TPE,20,  0.29,  0.28,     --     *     ---|                   ,  0.05,  0.53, 903.87
 3,    gemini/exploit,20,  0.32,  0.24,     ----    *     --|                   ,  0.05,  0.57, 59.75
 3,       gpt/exploit,25,  0.34,  0.21,   -----      * --   |                   ,  0.02,  0.49, 258.14
 3,       gpt/explore,20,  0.34,  0.23,      ---     *   ---|                   ,  0.03,  0.58, 256.97
 3,           exploit,25,  0.36,  0.32,    --        *    --|                   ,  0.03,  0.68, 19.23
 3,    gemini/explore,20,  0.39,  0.26,   ----         * -- |                   ,  0.03,  0.70, 64.01
#
 4,    gemini/explore,30,  0.39,  0.26,    ----        *  --|-                  ,  0.03,  0.66, 23.04
 4,    gemini/exploit,25,  0.42,  0.31,    --           *---|                   ,  0.03,  0.54, 59.97
 4,           explore,30,  0.42,  0.20,    ------       *---|                   ,  0.07,  0.55, 7.35
 4,           explore,20,  0.43,  0.30,    ----         *  -|--                 ,  0.06,  0.66, 17.37
#
 5,        baseline,2880,  0.94,  0.05,                     |             -- *- ,  0.61,  1.00, 0.04
