#
 0,           UCB_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.22, 2822.37
 0,            PI_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.22, 2952.97
 0,            EI_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.22, 3038.26
 0,           exploit,20,  0.17,  0.02, *                   |                   ,  0.17,  0.48, 10.20
 0,           UCB_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.21, 2689.26
 0,            PI_GPM,25,  0.17,  0.00, *-                  |                   ,  0.17,  0.22, 2787.41
 0,            EI_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 7866.33
 0,           UCB_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.22, 2537.65
 0,            PI_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 2759.80
 0,            EI_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 2617.21
 0,       gpt/exploit,30,  0.17,  0.02, *-                  |                   ,  0.17,  0.48, 228.51
#
 1,    gemini/exploit,25,  0.19,  0.02, *-                  |                   ,  0.17,  0.48, 38.80
 1,    gemini/exploit,20,  0.19,  0.06, * -------------     |                   ,  0.17,  0.50, 21.00
 1,       gpt/exploit,20,  0.19,  0.05, * ------------------|--                 ,  0.17,  0.66, 223.46
 1,           exploit,25,  0.19,  0.03,  *--------          |                   ,  0.17,  0.50, 19.74
#
 2,       gpt/exploit,25,  0.19,  0.06,  *-----------       |                   ,  0.17,  0.83, 250.00
 2,           exploit,30,  0.19,  0.02,  *-------------     |                   ,  0.17,  0.48, 11.10
 2,    gemini/exploit,30,  0.19,  0.02,  *                  |                   ,  0.17,  0.21, 28.13
 2,               rrp,11,  0.22,  0.17,  -*       ----------|                   ,  0.17,  0.69, 5.71
 2,            random,20,  0.22,  0.01,  -*-----------------|                   ,  0.17,  0.83, 0.00
 2,               TPE,20,  0.22,  0.20,   *         --      |                   ,  0.19,  0.49, 266.61
 2,       gpt/explore,20,  0.22,  0.24,  -*           ------|---                ,  0.17,  0.70, 235.66
 2,            random,25,  0.22,  0.07, - * -----------     |                   ,  0.17,  0.49, 0.00
 2,               TPE,25,  0.22,  0.02, --*---------        |                   ,  0.17,  0.44, 424.38
 2,            random,30,  0.22,  0.02, - *------------     |                   ,  0.17,  0.62, 0.00
 2,               TPE,30,  0.22,  0.00, --*---------        |                   ,  0.17,  0.44, 411.70
#
 3,       gpt/explore,30,  0.22,  0.30, - *             ----|-----              ,  0.17,  0.71, 228.20
 3,           explore,30,  0.23,  0.30, -- *             ---|---                ,  0.17,  0.74, 11.09
 3,       gpt/explore,25,  0.24,  0.23, -- *         -------|----               ,  0.17,  0.83, 241.48
 3,    gemini/explore,25,  0.25,  0.19, -- *       ---------|                   ,  0.17,  0.61, 43.22
 3,           explore,20,  0.42,  0.37, --          *       |-----------        ,  0.17,  0.83, 10.74
 3,    gemini/explore,20,  0.44,  0.39,              *      |------             ,  0.21,  0.89, 19.67
 3,    gemini/explore,30,  0.44,  0.30, --           *   ---|-------------------,  0.17,  1.00, 27.90
 3,           explore,25,  0.53,  0.39, --               *  |--------           ,  0.17,  0.80, 20.76
#
 4,        baseline,1023,  0.83,  0.47,    --------------   |           *       ,  0.17,  1.00, 0.00
