#
 0,           UCB_GPM,20,  0.17,  0.01, *-                  |                   ,  0.17,  0.23, 3752.48
 0,            EI_GPM,20,  0.17,  0.01, *----               |                   ,  0.17,  0.34, 3174.67
 0,           UCB_GPM,30,  0.17,  0.01, *--                 |                   ,  0.17,  0.27, 3440.06
 0,           UCB_GPM,25,  0.18,  0.05, * --                |                   ,  0.17,  0.27, 3534.00
 0,            PI_GPM,20,  0.18,  0.05, * -----             |                   ,  0.17,  0.33, 3681.33
#
 1,            EI_GPM,25,  0.18,  0.04, * ----              |                   ,  0.17,  0.34, 3305.43
#
 2,            PI_GPM,30,  0.18,  0.10, *    ----           |                   ,  0.17,  0.37, 2213.04
 2,            EI_GPM,30,  0.18,  0.05, * -----             |                   ,  0.17,  0.33, 1403.71
 2,            PI_GPM,25,  0.21,  0.05,   *----             |                   ,  0.17,  0.35, 8437.15
#
 3,    gemini/exploit,30,  0.22,  0.04, --* --              |                   ,  0.17,  0.30, 9.51
 3,           exploit,30,  0.23,  0.06, - * --              |                   ,  0.17,  0.32, 3.66
 3,           exploit,25,  0.23,  0.06, -- *--              |                   ,  0.17,  0.31, 19.62
#
 4,    gemini/exploit,25,  0.23,  0.07,    *---             |                   ,  0.17,  0.32, 36.36
 4,               TPE,30,  0.23,  0.05, -  *--              |                   ,  0.17,  0.32, 160.96
 4,       gpt/exploit,20,  0.25,  0.05, --  *--             |                   ,  0.17,  0.35, 233.81
 4,            random,30,  0.25,  0.06,   - *--             |                   ,  0.17,  0.32, 0.00
 4,       gpt/exploit,30,  0.25,  0.10, -   * -------       |                   ,  0.17,  0.48, 210.46
#
 5,               TPE,20,  0.25,  0.05,   - *---            |                   ,  0.18,  0.37, 467.05
 5,               TPE,25,  0.26,  0.06,   - * --            |                   ,  0.17,  0.36, 588.63
 5,            random,25,  0.26,  0.06,   - * --            |                   ,  0.18,  0.37, 0.00
 5,       gpt/exploit,25,  0.26,  0.08, --  * -             |                   ,  0.17,  0.34, 236.48
 5,           explore,20,  0.27,  0.10,   -  * ----         |                   ,  0.17,  0.40, 17.33
 5,           exploit,20,  0.29,  0.07,   -- * --           |                   ,  0.20,  0.39, 13.55
#
 6,           explore,25,  0.29,  0.04,    -- *----         |                   ,  0.22,  0.42, 15.86
 6,    gemini/exploit,20,  0.29,  0.05,   --  *---          |                   ,  0.20,  0.38, 32.07
#
 7,            random,20,  0.29,  0.08,  -    *-            |                   ,  0.18,  0.38, 0.00
 7,       gpt/explore,20,  0.30,  0.13,       *  --         |                   ,  0.17,  0.41, 231.65
 7,    gemini/explore,25,  0.31,  0.10,   --  *  -          |                   ,  0.17,  0.45, 41.15
 7,           explore,30,  0.31,  0.09,   --  * ---         |                   ,  0.18,  0.40, 3.89
 7,       gpt/explore,30,  0.32,  0.10,  -     *---         |                   ,  0.18,  0.43, 210.56
 7,       gpt/explore,25,  0.32,  0.12,    -   * -          |                   ,  0.18,  0.43, 236.29
 7,    gemini/explore,30,  0.32,  0.05,   ---  *            |                   ,  0.17,  0.38, 10.01
#
 8,    gemini/explore,20,  0.34,  0.08, ------  *--         |                   ,  0.17,  0.47, 31.66
 8,               rrp,11,  0.38,  0.14,   ----    *  -------|----               ,  0.17,  0.81, 3.71
#
 9,         baseline,972,  0.48,  0.10,            --  *  --|---                ,  0.28,  1.00, 0.00
