#
 0,            PI_GPM,25,  0.05,  0.01, *                   |                   ,  0.05,  0.06, 8328.16
 0,            PI_GPM,20,  0.05,  0.00, *                   |                   ,  0.05,  0.06, 3976.93
 0,           UCB_GPM,25,  0.05,  0.00, *                   |                   ,  0.05,  0.06, 3713.49
 0,            PI_GPM,30,  0.05,  0.00, *                   |                   ,  0.05,  0.30, 1340.89
 0,            EI_GPM,25,  0.05,  0.00, *                   |                   ,  0.05,  0.07, 3792.97
 0,           UCB_GPM,30,  0.06,  0.00, *                   |                   ,  0.05,  0.07, 2193.68
 0,           UCB_GPM,20,  0.06,  0.00, *                   |                   ,  0.05,  0.06, 3895.66
 0,            EI_GPM,20,  0.06,  0.00, *                   |                   ,  0.05,  0.07, 3341.74
 0,            EI_GPM,30,  0.06,  0.01, *                   |                   ,  0.05,  0.07, 1092.30
 0,       gpt/exploit,30,  0.06,  0.02, *--------           |                   ,  0.05,  0.27, 215.60
 0,    gemini/exploit,30,  0.06,  0.01, *--------           |                   ,  0.05,  0.27, 15.89
 0,    gemini/exploit,25,  0.06,  0.05, * -------           |                   ,  0.05,  0.29, 88.15
 0,            random,25,  0.07,  0.04, * -                 |                   ,  0.05,  0.13, 0.00
 0,    gemini/exploit,20,  0.07,  0.16, *       --          |                   ,  0.05,  0.30, 88.51
 0,               TPE,25,  0.07,  0.02, *------             |                   ,  0.05,  0.22, 1697.17
 0,            random,30,  0.07,  0.02, *------             |                   ,  0.05,  0.24, 0.00
 0,           exploit,25,  0.07,  0.13,  *    ----          |                   ,  0.05,  0.28, 20.31
 0,            random,20,  0.08,  0.04,  *------            |                   ,  0.05,  0.25, 0.00
 0,               TPE,30,  0.08,  0.01, -*                  |                   ,  0.05,  0.17, 352.83
 0,       gpt/explore,20,  0.08,  0.03, -*-------           |                   ,  0.06,  0.44, 296.98
 0,       gpt/explore,30,  0.08,  0.14,  *     -----------  |                   ,  0.05,  0.46, 212.72
 0,               TPE,20,  0.08,  0.11,  *   ---            |                   ,  0.05,  0.28, 1467.90
 0,               rrp,12,  0.09,  0.04,  *------            |                   ,  0.06,  0.26, 13.49
 0,    gemini/explore,25,  0.10,  0.17,   *     ---         |                   ,  0.05,  0.39, 81.72
 0,       gpt/explore,25,  0.10,  0.14,   *   -----         |                   ,  0.05,  0.35, 268.31
#
 1,    gemini/explore,20,  0.11,  0.14,   *     ------------|                   ,  0.05,  0.49, 97.88
 1,    gemini/explore,30,  0.11,  0.19,   *      --         |                   ,  0.05,  0.62, 14.60
 1,           explore,25,  0.11,  0.13, -  *   -------------|--                 ,  0.05,  0.64, 20.11
 1,       gpt/exploit,20,  0.18,  0.11, --    *----         |                   ,  0.05,  0.31, 291.96
 1,       gpt/exploit,25,  0.18,  0.13, -     *---          |                   ,  0.05,  0.27, 282.27
 1,           exploit,30,  0.19,  0.14,       *--           |                   ,  0.05,  0.31, 2.90
 1,           exploit,20,  0.19,  0.16,       *---          |                   ,  0.05,  0.31, 18.06
 1,           explore,20,  0.20,  0.15,  -    *  -------    |                   ,  0.07,  0.49, 22.87
#
 2,        baseline,2736,  0.29,  0.11,  -------   * -------|-------            ,  0.05,  0.91, 0.00
 2,           explore,30,  0.31,  0.26,  --         * ----  |                   ,  0.07,  0.46, 3.19
