#
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.04, 2966.54
 0,            EI_GPM,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.03, 1710.53
 0,           UCB_GPM,30,  0.01,  0.00, *-                  |                   ,  0.00,  0.03, 2747.86
 0,           UCB_GPM,20,  0.01,  0.00, *-                  |                   ,  0.00,  0.03, 2814.41
 0,            EI_GPM,25,  0.01,  0.00, *-                  |                   ,  0.00,  0.03, 7637.83
 0,           UCB_GPM,25,  0.01,  0.00, *-                  |                   ,  0.00,  0.03, 2669.83
 0,            PI_GPM,20,  0.01,  0.00, *---                |                   ,  0.00,  0.05, 2936.89
 0,       gpt/exploit,25,  0.01,  0.02, *---                |                   ,  0.00,  0.05, 285.42
 0,    gemini/exploit,20,  0.01,  0.00, *------             |                   ,  0.00,  0.09, 75.20
 0,               TPE,25,  0.01,  0.02, *  ---              |                   ,  0.00,  0.06, 2146.30
#
 1,           exploit,20,  0.01,  0.02, * --                |                   ,  0.00,  0.05, 20.75
 1,            PI_GPM,30,  0.01,  0.01, *-                  |                   ,  0.00,  0.02, 2437.18
 1,            PI_GPM,25,  0.01,  0.01, *---                |                   ,  0.00,  0.05, 2856.73
 1,           exploit,25,  0.01,  0.02, * --                |                   ,  0.00,  0.09, 20.76
#
 2,       gpt/exploit,30,  0.01,  0.02, * --                |                   ,  0.00,  0.05, 226.59
#
 3,       gpt/exploit,20,  0.02,  0.02,  *--                |                   ,  0.00,  0.06, 280.54
#
 4,            random,30,  0.02,  0.02,   *                 |                   ,  0.00,  0.05, 0.00
 4,           exploit,30,  0.02,  0.03,   *                 |                   ,  0.00,  0.05, 6.72
#
 5,               TPE,30,  0.02,  0.01, - *-                |                   ,  0.00,  0.06, 903.13
 5,    gemini/exploit,25,  0.02,  0.03,   *-                |                   ,  0.00,  0.05, 83.69
 5,    gemini/exploit,30,  0.02,  0.02,   *-                |                   ,  0.00,  0.04, 28.21
 5,            random,25,  0.03,  0.02, --*  ---            |                   ,  0.00,  0.15, 0.00
 5,       gpt/explore,20,  0.03,  0.03, - *  --             |                   ,  0.00,  0.07, 287.76
 5,       gpt/explore,30,  0.03,  0.04,   * ---             |                   ,  0.00,  0.24, 225.05
 5,       gpt/explore,25,  0.03,  0.02, --*  -----          |                   ,  0.00,  0.11, 287.64
 5,           explore,30,  0.03,  0.03, -  *--------        |                   ,  0.00,  0.14, 7.30
 5,    gemini/explore,20,  0.03,  0.02, -- * --             |                   ,  0.00,  0.10, 74.58
 5,    gemini/explore,25,  0.03,  0.02, -- *                |                   ,  0.00,  0.06, 88.87
 5,    gemini/explore,30,  0.04,  0.02, -- *----            |                   ,  0.00,  0.08, 26.75
 5,               TPE,20,  0.04,  0.03, -   *--             |                   ,  0.00,  0.07, 1368.77
#
 6,           explore,20,  0.04,  0.02, --  *-------------  |                   ,  0.00,  0.17, 22.98
 6,            random,20,  0.04,  0.02, --- *--             |                   ,  0.00,  0.12, 0.00
 6,               rrp,13,  0.05,  0.08, --  *       --------|------------------ ,  0.00,  0.35, 24.29
 6,           explore,25,  0.05,  0.04, --   * --           |                   ,  0.00,  0.11, 20.55
#
 7,        baseline,3840,  0.15,  0.04,  ------------    *  |                   ,  0.00,  0.21, 0.08
