#
 0,            EI_GPM,25,  0.31,  0.02, *                   |                   ,  0.31,  0.34, 2634.46
 0,            PI_GPM,20,  0.31,  0.01, *                   |                   ,  0.31,  0.33, 4403.76
 0,           UCB_GPM,25,  0.31,  0.01, *                   |                   ,  0.31,  0.33, 4181.07
 0,            PI_GPM,30,  0.32,  0.01, *                   |                   ,  0.31,  0.33, 439.66
 0,           exploit,30,  0.32,  0.01, *                   |                   ,  0.31,  0.33, 3.27
 0,               TPE,30,  0.32,  0.00, *                   |                   ,  0.31,  0.33, 323.24
 0,           exploit,20,  0.32,  0.02, *                   |                   ,  0.31,  0.42, 28.72
 0,       gpt/exploit,25,  0.32,  0.01, *                   |                   ,  0.31,  0.59, 250.69
 0,       gpt/exploit,30,  0.32,  0.01, *                   |                   ,  0.31,  0.47, 223.11
 0,            EI_GPM,20,  0.32,  0.01, *                   |                   ,  0.31,  0.33, 4599.32
 0,           UCB_GPM,30,  0.32,  0.01, *                   |                   ,  0.31,  0.33, 1141.16
 0,    gemini/exploit,30,  0.32,  0.01,  *                  |                   ,  0.31,  0.33, 22.34
 0,               TPE,25,  0.32,  0.01,  *                  |                   ,  0.31,  0.34, 852.42
 0,           UCB_GPM,20,  0.32,  0.01,  *                  |                   ,  0.31,  0.35, 4916.59
 0,            PI_GPM,25,  0.32,  0.01,  *                  |                   ,  0.31,  0.33, 4589.73
 0,           exploit,25,  0.32,  0.01,  *                  |                   ,  0.31,  0.58, 6.48
 0,            random,20,  0.33,  0.01,  *                  |                   ,  0.32,  0.37, 0.00
 0,       gpt/exploit,20,  0.33,  0.01,  *                  |                   ,  0.31,  0.59, 402.38
 0,    gemini/exploit,25,  0.33,  0.01,  *--------------    |                   ,  0.31,  0.60, 51.57
 0,            EI_GPM,30,  0.33,  0.02,  *                  |                   ,  0.31,  0.33, 398.03
 0,               TPE,20,  0.33,  0.01,  *                  |                   ,  0.31,  0.33, 2506.49
 0,    gemini/exploit,20,  0.33,  0.01,  *                  |                   ,  0.31,  0.47, 205.96
 0,            random,30,  0.33,  0.01,  *                  |                   ,  0.31,  0.37, 0.00
 0,            random,25,  0.33,  0.01,  *-                 |                   ,  0.32,  0.37, 0.00
 0,    gemini/explore,30,  0.33,  0.02, -*---------------   |                   ,  0.31,  0.60, 22.43
 0,       gpt/explore,30,  0.33,  0.02, -*------------      |                   ,  0.32,  0.61, 223.04
 0,               rrp,13,  0.33,  0.01, -*------------------|-------------      ,  0.32,  0.92, 50.38
 0,    gemini/explore,25,  0.33,  0.02,  *-------           |                   ,  0.32,  0.58, 49.83
 0,           explore,25,  0.33,  0.04,  * -------------    |                   ,  0.32,  0.60, 8.47
 0,       gpt/explore,20,  0.34,  0.04, -* ---------------  |                   ,  0.32,  0.64, 5495.91
 0,           explore,30,  0.34,  0.06, - * --------------  |                   ,  0.31,  0.63, 3.26
 0,    gemini/explore,20,  0.34,  0.08,   *   ----------    |                   ,  0.32,  0.64, 204.61
 0,           explore,20,  0.35,  0.05,   * ---------       |                   ,  0.32,  0.56, 32.29
 0,       gpt/explore,25,  0.36,  0.05, - * --------------- |                   ,  0.31,  0.64, 245.01
#
 1,        baseline,4608,  0.62,  0.34,  ----             * |    -------------  ,  0.31,  0.99, 0.05
