#
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 4024.09
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 4153.62
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 4251.95
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3624.26
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 8640.11
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 4077.03
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 2464.06
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1527.56
 0,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1148.28
 0,    gemini/exploit,25,  0.00,  0.01, *-------------      |                   ,  0.00,  0.22, 46.02
 0,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.20, 13.88
 0,    gemini/exploit,20,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 40.14
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.21, 15.19
 0,       gpt/exploit,25,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 242.92
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.21, 3.14
 0,    gemini/exploit,30,  0.00,  0.00, *-------------      |                   ,  0.00,  0.43, 8.12
 0,       gpt/exploit,30,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 209.88
 0,       gpt/exploit,20,  0.00,  0.01, *                   |                   ,  0.00,  0.21, 245.03
 0,               TPE,30,  0.00,  0.01, *-                  |                   ,  0.00,  0.05, 161.65
#
 1,            random,30,  0.01,  0.02, *-                  |                   ,  0.00,  0.03, 0.00
 1,               TPE,25,  0.01,  0.01, *-                  |                   ,  0.00,  0.03, 687.87
#
 2,               TPE,20,  0.01,  0.01,  *                  |                   ,  0.00,  0.05, 595.50
 2,            random,25,  0.02,  0.01,  *                  |                   ,  0.00,  0.05, 0.00
 2,            random,20,  0.02,  0.02,  *-                 |                   ,  0.00,  0.05, 0.00
 2,               rrp,11,  0.03,  0.02, -* --               |                   ,  0.00,  0.21, 6.89
 2,           explore,30,  0.03,  0.02, -*---               |                   ,  0.00,  0.11, 3.18
 2,       gpt/explore,30,  0.03,  0.04,   *-----------------|-                  ,  0.00,  0.33, 208.24
 2,       gpt/explore,20,  0.04,  0.03, - *-----------------|--                 ,  0.00,  0.42, 240.03
 2,    gemini/explore,30,  0.04,  0.06, - *   --------------|                   ,  0.00,  0.31, 8.23
#
 3,    gemini/explore,25,  0.04,  0.08,   *   --------      |                   ,  0.00,  0.24, 41.45
 3,    gemini/explore,20,  0.05,  0.05, -  * ---------------|                   ,  0.00,  0.31, 38.11
 3,           explore,25,  0.05,  0.08,  - *    ------------|-                  ,  0.01,  0.33, 14.80
#
 4,           explore,20,  0.05,  0.05, -  * -------------- |                   ,  0.00,  0.32, 16.97
 4,        baseline,1152,  0.07,  0.06,  --  * -------------|-------            ,  0.00,  0.57, 0.03
 4,       gpt/explore,25,  0.11,  0.27,  -     *            |----               ,  0.01,  0.44, 241.86
