#
 0,       gpt/exploit,30,  0.03,  0.03,  *-----             |                   ,  0.00,  0.18, 216.32
 0,       gpt/exploit,25,  0.03,  0.02, -*----              |                   ,  0.00,  0.19, 220.74
 0,    gemini/exploit,30,  0.04,  0.05, - * --              |                   ,  0.00,  0.16, 12.32
 0,           UCB_GPM,25,  0.04,  0.02, - *--               |                   ,  0.00,  0.11, 2650.29
 0,    gemini/exploit,25,  0.04,  0.02, - *----             |                   ,  0.00,  0.27, 22.14
 0,       gpt/exploit,20,  0.04,  0.04, - *-------          |                   ,  0.01,  0.25, 213.91
#
 1,           exploit,20,  0.04,  0.05,  -*  --             |                   ,  0.00,  0.13, 4.39
 1,           exploit,25,  0.04,  0.06, - *  -----          |                   ,  0.00,  0.21, 10.17
 1,               TPE,30,  0.04,  0.03,   *-----            |                   ,  0.01,  0.14, 495.10
 1,           exploit,30,  0.04,  0.03,   *-----            |                   ,  0.00,  0.18, 6.34
 1,           UCB_GPM,30,  0.04,  0.04,  -* --              |                   ,  0.01,  0.12, 2608.45
 1,            PI_GPM,25,  0.05,  0.04,  - *--              |                   ,  0.01,  0.15, 3013.20
 1,            EI_GPM,25,  0.05,  0.04,    *-               |                   ,  0.01,  0.12, 7823.18
 1,           UCB_GPM,20,  0.05,  0.02,  - *                |                   ,  0.03,  0.10, 2947.46
 1,            PI_GPM,20,  0.05,  0.03,    *-               |                   ,  0.00,  0.12, 2951.74
 1,            EI_GPM,30,  0.05,  0.03,    *                |                   ,  0.01,  0.09, 2535.93
#
 2,            EI_GPM,20,  0.06,  0.04,    *-               |                   ,  0.03,  0.10, 2930.18
 2,            PI_GPM,30,  0.06,  0.03, -- *-               |                   ,  0.00,  0.13, 2821.82
 2,            random,25,  0.06,  0.04,  - * -              |                   ,  0.03,  0.14, 0.00
 2,    gemini/explore,25,  0.06,  0.10,  - *    -           |                   ,  0.00,  0.18, 21.51
 2,               TPE,20,  0.06,  0.02,   -*-               |                   ,  0.03,  0.11, 346.76
 2,    gemini/exploit,20,  0.06,  0.06,    * ----           |                   ,  0.00,  0.27, 11.01
 2,               TPE,25,  0.07,  0.05, -   *               |                   ,  0.00,  0.09, 682.91
#
 3,            random,30,  0.08,  0.03,   - *--             |                   ,  0.03,  0.16, 0.00
 3,           explore,20,  0.08,  0.06,  -- * ---           |                   ,  0.03,  0.16, 4.28
 3,       gpt/explore,30,  0.08,  0.07,  -- *  --           |                   ,  0.00,  0.20, 214.01
 3,    gemini/explore,30,  0.09,  0.05,  --  *---           |                   ,  0.00,  0.21, 12.65
 3,       gpt/explore,25,  0.09,  0.09, ---  *  --          |                   ,  0.00,  0.18, 218.10
#
 4,           explore,25,  0.10,  0.06,   -- *  -           |                   ,  0.04,  0.18, 9.49
 4,       gpt/explore,20,  0.10,  0.08,   -- *   -          |                   ,  0.03,  0.28, 216.54
 4,           explore,30,  0.10,  0.08,  --   *------       |                   ,  0.01,  0.23, 5.42
 4,            random,20,  0.11,  0.04,    -  *-            |                   ,  0.00,  0.15, 0.00
 4,               rrp,11,  0.11,  0.06,  ---  * --          |                   ,  0.01,  0.23, 1.10
#
 5,    gemini/explore,20,  0.14,  0.09,   ---   *  ---      |                   ,  0.04,  0.32, 10.37
#
 6,        baseline,1343,  0.29,  0.15,          ---     *  |-------            ,  0.03,  0.67, 0.00
