#
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2928.27
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2847.65
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2976.38
 0,    gemini/exploit,20,  0.00,  0.25, *        -          |                   ,  0.00,  0.28, 5.33
 0,       gpt/exploit,20,  0.00,  0.21, *       --          |                   ,  0.00,  0.28, 203.57
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2541.65
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2756.50
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2897.43
 0,           exploit,25,  0.00,  0.08, *  -------          |                   ,  0.00,  0.31, 6.53
 0,    gemini/exploit,25,  0.00,  0.00, *------------       |                   ,  0.00,  0.35, 6.46
 0,       gpt/exploit,25,  0.00,  0.10, *  -------          |                   ,  0.00,  0.28, 206.10
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2368.84
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2612.92
#
 1,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2833.18
 1,           exploit,30,  0.00,  0.21, *       -           |                   ,  0.00,  0.25, 7.44
 1,    gemini/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.25, 8.86
#
 2,       gpt/exploit,30,  0.00,  0.00, *---------          |                   ,  0.00,  0.25, 207.68
 2,                rrp,9,  0.09,  0.25,    *     -----      |                   ,  0.00,  0.41, 0.39
 2,           exploit,20,  0.09,  0.25,    *     --         |                   ,  0.00,  0.34, 6.50
 2,    gemini/explore,25,  0.09,  0.25,    *     -----      |                   ,  0.00,  0.56, 7.39
 2,       gpt/explore,25,  0.10,  0.25,    *      -         |                   ,  0.00,  0.32, 205.05
 2,    gemini/explore,30,  0.16,  0.25,       *             |                   ,  0.00,  0.36, 9.03
#
 3,               TPE,25,  0.17,  0.15, ---   *  ----       |                   ,  0.00,  0.33, 78.62
 3,            random,30,  0.21,  0.10,    ---  * --        |                   ,  0.00,  0.32, 0.00
 3,               TPE,30,  0.21,  0.09, ------  *           |                   ,  0.00,  0.27, 87.74
 3,            random,25,  0.25,  0.08,    ---   *--        |                   ,  0.00,  0.35, 0.00
 3,       gpt/explore,30,  0.25,  0.29,          * -------- |                   ,  0.00,  0.56, 208.20
 3,            random,20,  0.25,  0.17,           *-        |                   ,  0.00,  0.35, 0.00
 3,               TPE,20,  0.25,  0.10,    ---    *-        |                   ,  0.09,  0.33, 67.61
 3,       gpt/explore,20,  0.25,  0.13, ------    *-----    |                   ,  0.00,  0.56, 203.06
#
 4,           explore,30,  0.25,  0.20, ---       *------   |                   ,  0.00,  0.50, 7.39
 4,           explore,25,  0.27,  0.21, ---       * ----    |                   ,  0.00,  0.41, 5.26
 4,    gemini/explore,20,  0.27,  0.14, ------    * -       |                   ,  0.00,  0.50, 4.04
#
 5,           explore,20,  0.35,  0.17,    ------     * ----|                   ,  0.00,  0.50, 6.29
#
 6,         baseline,206,  0.60,  0.24,              ------ |   *    ------     ,  0.00,  1.00, 0.00
