#
 0,           exploit,25,  0.07,  0.02,     -* --           |                   ,  0.00,  0.19, 11.30
 0,    gemini/exploit,30,  0.07,  0.02,     -*--------      |                   ,  0.00,  0.22, 13.37
 0,           exploit,30,  0.08,  0.03, -----* -            |                   ,  0.00,  0.17, 5.87
 0,       gpt/exploit,30,  0.08,  0.02,     -* --           |                   ,  0.00,  0.13, 213.89
 0,           UCB_GPM,25,  0.08,  0.03, -----*  -           |                   ,  0.00,  0.16, 2604.59
 0,           exploit,20,  0.08,  0.02, ----- *             |                   ,  0.00,  0.14, 4.23
 0,    gemini/exploit,25,  0.09,  0.02,      -*------       |                   ,  0.00,  0.19, 23.06
 0,            PI_GPM,20,  0.09,  0.02,       *-            |                   ,  0.00,  0.12, 2926.92
 0,           UCB_GPM,30,  0.09,  0.04,     - * --          |                   ,  0.00,  0.14, 2541.66
 0,            PI_GPM,30,  0.09,  0.01,       *--           |                   ,  0.00,  0.14, 2864.52
 0,            EI_GPM,20,  0.09,  0.02,     - *-            |                   ,  0.06,  0.13, 2983.77
 0,               TPE,30,  0.09,  0.03,       *---          |                   ,  0.00,  0.16, 581.41
 0,            PI_GPM,25,  0.09,  0.02,      -* -           |                   ,  0.06,  0.14, 2758.39
 0,    gemini/exploit,20,  0.09,  0.03,     -  *-----       |                   ,  0.06,  0.21, 13.22
 0,            EI_GPM,25,  0.09,  0.02,      - *            |                   ,  0.06,  0.12, 8001.74
 0,       gpt/exploit,25,  0.09,  0.02,        *-----       |                   ,  0.07,  0.18, 221.65
#
 1,            random,30,  0.10,  0.02,        *--          |                   ,  0.07,  0.14, 0.00
 1,           UCB_GPM,20,  0.10,  0.02,      - *-           |                   ,  0.00,  0.14, 2982.71
 1,       gpt/exploit,20,  0.10,  0.03,      - *-------     |                   ,  0.06,  0.23, 220.07
 1,            EI_GPM,30,  0.10,  0.03,     -- *--          |                   ,  0.00,  0.14, 2392.16
#
 2,       gpt/explore,30,  0.10,  0.05,      - * ----       |                   ,  0.00,  0.22, 216.99
 2,               TPE,25,  0.11,  0.02,       - *-          |                   ,  0.07,  0.16, 764.97
 2,    gemini/explore,30,  0.11,  0.03,       - *-----------|--                 ,  0.07,  0.34, 13.91
 2,            random,20,  0.11,  0.02,      -- *-          |                   ,  0.06,  0.15, 0.00
 2,               TPE,20,  0.11,  0.03,       - *-          |                   ,  0.08,  0.14, 352.66
 2,            random,25,  0.11,  0.02,      -- *-          |                   ,  0.07,  0.15, 0.00
#
 3,       gpt/explore,20,  0.12,  0.04,      -- * --------  |                   ,  0.07,  0.27, 218.53
 3,    gemini/explore,20,  0.12,  0.03,      --  *          |                   ,  0.07,  0.15, 13.00
 3,       gpt/explore,25,  0.12,  0.04,      -   *-         |                   ,  0.00,  0.17, 222.03
 3,           explore,25,  0.12,  0.04,          *----------|-                  ,  0.00,  0.36, 9.81
 3,           explore,30,  0.12,  0.03,       -- *----------|----------         ,  0.07,  0.43, 5.28
 3,    gemini/explore,25,  0.13,  0.03,       -- *--        |                   ,  0.07,  0.39, 26.29
 3,           explore,20,  0.13,  0.06,       -- *  --------|                   ,  0.07,  0.36, 6.06
#
 4,               rrp,12,  0.15,  0.04,        --  *--------|-------            ,  0.07,  0.40, 4.89
#
 5,        baseline,1512,  0.18,  0.09,          --  *    --|--------           ,  0.00,  0.53, 0.00
