#
 0,           UCB_GPM,25,  0.18,  0.08, - *  ---            |                   ,  0.15,  0.35, 2599.19
 0,            PI_GPM,30,  0.20,  0.12, --*    ----         |                   ,  0.13,  0.40, 2817.00
 0,           UCB_GPM,20,  0.21,  0.11, -  *  ---           |                   ,  0.15,  0.35, 2776.44
 0,           UCB_GPM,30,  0.21,  0.07, -- * ---            |                   ,  0.15,  0.34, 2499.25
 0,            EI_GPM,25,  0.21,  0.07, -- * ----           |                   ,  0.13,  0.35, 7823.02
 0,            PI_GPM,20,  0.22,  0.13, -  *   ----         |                   ,  0.13,  0.41, 2829.68
 0,    gemini/exploit,30,  0.23,  0.09,  -- *  ------       |                   ,  0.15,  0.43, 10.70
 0,       gpt/exploit,30,  0.23,  0.10, -   * -             |                   ,  0.13,  0.42, 210.20
#
 1,            PI_GPM,25,  0.24,  0.13, -    * --           |                   ,  0.13,  0.38, 2882.20
 1,               TPE,30,  0.25,  0.12, --   *  ---         |                   ,  0.13,  0.40, 307.03
 1,            EI_GPM,20,  0.25,  0.16, --   *   ---        |                   ,  0.13,  0.40, 3090.64
 1,               TPE,25,  0.26,  0.11,  -   * ----         |                   ,  0.15,  0.39, 309.72
 1,            random,30,  0.26,  0.13, --   *  --          |                   ,  0.13,  0.40, 0.00
 1,            EI_GPM,30,  0.26,  0.09, --   *---           |                   ,  0.13,  0.35, 2993.25
 1,           exploit,25,  0.27,  0.17, -     *  --         |                   ,  0.13,  0.40, 6.72
 1,       gpt/exploit,20,  0.27,  0.14, -     * ----        |                   ,  0.13,  0.49, 207.13
 1,       gpt/exploit,25,  0.27,  0.21, -     *    -        |                   ,  0.13,  0.41, 210.43
#
 2,           exploit,30,  0.27,  0.18, -     *  ----       |                   ,  0.13,  0.44, 4.59
 2,    gemini/exploit,20,  0.29,  0.09,  ---   *---         |                   ,  0.13,  0.51, 6.23
 2,    gemini/explore,20,  0.29,  0.10, -----  * ---        |                   ,  0.13,  0.44, 6.92
 2,           exploit,20,  0.30,  0.16,  --    *   -        |                   ,  0.13,  0.44, 4.92
 2,    gemini/exploit,25,  0.30,  0.10,  ----- *   --       |                   ,  0.15,  0.44, 10.08
 2,       gpt/explore,20,  0.31,  0.22, -      *   ---      |                   ,  0.13,  0.46, 208.14
 2,            random,25,  0.31,  0.07,   ---   *-          |                   ,  0.17,  0.41, 0.00
 2,           explore,20,  0.32,  0.09,  ----   *---        |                   ,  0.13,  0.44, 4.12
#
 3,           explore,25,  0.33,  0.07,   ----   *----      |                   ,  0.15,  0.48, 5.93
 3,       gpt/explore,30,  0.33,  0.06,    ----  *--        |                   ,  0.13,  0.41, 209.96
 3,               TPE,20,  0.33,  0.10,    ---   * --       |                   ,  0.15,  0.42, 254.02
 3,           explore,30,  0.34,  0.05,    ----  *--        |                   ,  0.17,  0.45, 5.87
 3,    gemini/explore,25,  0.34,  0.04,   -----  *-------   |                   ,  0.13,  0.51, 10.03
 3,       gpt/explore,25,  0.34,  0.10,    ----  *  --      |                   ,  0.17,  0.48, 213.11
 3,    gemini/explore,30,  0.34,  0.07,   ------ * ---      |                   ,  0.15,  0.47, 10.48
 3,            random,20,  0.34,  0.05,       -- * -        |                   ,  0.24,  0.42, 0.00
#
 4,               rrp,11,  0.42,  0.11,         -    *------|--                 ,  0.13,  0.72, 2.46
#
 5,         baseline,756,  0.55,  0.26,            ----    *|      ------------ ,  0.17,  1.00, 0.00
