#
 0,       gpt/exploit,20,  0.47,  0.12, *        ----       |                   ,  0.47,  0.67, 203.57
 0,       gpt/exploit,25,  0.47,  0.05, *  ----------       |                   ,  0.47,  0.71, 205.31
 0,    gemini/exploit,30,  0.47,  0.12, *        -          |                   ,  0.47,  0.71, 5.99
 0,       gpt/exploit,30,  0.47,  0.14, *         ----      |                   ,  0.47,  0.67, 205.53
 0,               TPE,20,  0.52,  0.07, -  *   ----         |                   ,  0.47,  0.67, 62.72
#
 1,    gemini/exploit,25,  0.52,  0.14,    *                |                   ,  0.47,  0.62, 6.73
#
 2,            random,30,  0.53,  0.09, --  *   ---         |                   ,  0.47,  0.64, 0.00
 2,           exploit,20,  0.55,  0.14,       *             |                   ,  0.47,  0.62, 6.03
 2,               TPE,25,  0.55,  0.02,  ---  *--           |                   ,  0.47,  0.60, 66.28
#
 3,       gpt/explore,20,  0.56,  0.08,  --   *   ----      |                   ,  0.50,  0.71, 203.33
#
 4,    gemini/explore,25,  0.56,  0.07,  ---- *   ----      |                   ,  0.47,  0.67, 6.50
 4,               TPE,30,  0.56,  0.05,  --   *--           |                   ,  0.47,  0.64, 67.78
 4,    gemini/explore,30,  0.56,  0.05,    ---*  --         |                   ,  0.47,  0.67, 6.67
 4,           explore,25,  0.57,  0.04,     -- * ---        |                   ,  0.50,  0.65, 6.08
 4,           explore,30,  0.58,  0.04,  ----  * -----      |                   ,  0.47,  0.71, 4.28
 4,            random,20,  0.59,  0.04,   ----  *--------   |                   ,  0.50,  0.72, 0.00
 4,           explore,20,  0.59,  0.06,    --   * -         |                   ,  0.50,  0.71, 6.98
#
 5,            random,25,  0.59,  0.06,  ----    *-         |                   ,  0.47,  0.63, 0.00
 5,           UCB_GPM,20,  0.61,  0.09,    -      *         |                   ,  0.50,  0.63, 2830.18
 5,            PI_GPM,20,  0.61,  0.03,     ---   *         |                   ,  0.50,  0.63, 2937.72
 5,            EI_GPM,20,  0.61,  0.02,    ------ *         |                   ,  0.50,  0.63, 2932.96
 5,    gemini/exploit,20,  0.61,  0.18,           *  ----   |                   ,  0.47,  0.75, 6.33
 5,           UCB_GPM,25,  0.61,  0.01,    -------*         |                   ,  0.47,  0.63, 2615.13
 5,            PI_GPM,25,  0.61,  0.02,   ------- *         |                   ,  0.47,  0.63, 2956.41
 5,            EI_GPM,25,  0.61,  0.05,  -----    *         |                   ,  0.47,  0.63, 7944.10
 5,           UCB_GPM,30,  0.61,  0.03,    ------ *         |                   ,  0.47,  0.63, 2626.44
 5,            PI_GPM,30,  0.61,  0.03,    ------ *         |                   ,  0.47,  0.64, 2847.64
 5,            EI_GPM,30,  0.61,  0.02,    ------ *         |                   ,  0.50,  0.67, 2860.18
 5,           exploit,30,  0.61,  0.12, --        *------   |                   ,  0.47,  0.71, 5.59
#
 6,       gpt/explore,30,  0.62,  0.07,  -----    *-------  |                   ,  0.47,  0.75, 206.17
 6,    gemini/explore,20,  0.63,  0.06,  --------  * -      |                   ,  0.47,  0.83, 5.85
 6,       gpt/explore,25,  0.64,  0.05,       ----  * ----- |                   ,  0.47,  0.77, 205.39
 6,                rrp,9,  0.64,  0.14,           - *       | --                ,  0.50,  0.99, 0.11
#
 7,         baseline,196,  0.76,  0.13,           --------  |*      ----------- ,  0.47,  1.00, 0.00
