#
 0,            PI_GPM,30,  0.30,  0.00, *                   |                   ,  0.30,  0.44, 2758.54
 0,           UCB_GPM,20,  0.30,  0.00, *                   |                   ,  0.30,  0.44, 2875.24
 0,            PI_GPM,20,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 3001.67
 0,            EI_GPM,20,  0.30,  0.00, *                   |                   ,  0.30,  0.44, 2917.55
 0,           exploit,20,  0.30,  0.00, *----------         |                   ,  0.30,  0.78, 6.48
 0,    gemini/exploit,20,  0.30,  0.14, *                   |                   ,  0.30,  0.51, 5.84
 0,       gpt/exploit,20,  0.30,  0.14, *                   |                   ,  0.30,  0.51, 204.65
 0,           UCB_GPM,25,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 2603.13
 0,            PI_GPM,25,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 2696.15
 0,            EI_GPM,25,  0.30,  0.00, *                   |                   ,  0.30,  0.51, 2823.59
 0,           exploit,25,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 8.61
 0,    gemini/exploit,25,  0.30,  0.00, *-------            |                   ,  0.30,  0.51, 10.08
 0,       gpt/exploit,25,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 208.20
 0,           UCB_GPM,30,  0.30,  0.14, *                   |                   ,  0.30,  0.44, 2420.50
#
 1,            EI_GPM,30,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 2814.97
#
 2,           exploit,30,  0.30,  0.00, *-------            |                   ,  0.30,  0.45, 6.06
#
 3,    gemini/exploit,30,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 8.95
#
 4,       gpt/exploit,30,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 210.45
#
 5,               TPE,20,  0.44,  0.16,         *---        |                   ,  0.30,  0.67, 68.18
 5,    gemini/explore,20,  0.44,  0.17,         *-----------|--                 ,  0.30,  0.86, 5.59
 5,    gemini/explore,30,  0.44,  0.17,         *--------   |                   ,  0.30,  0.70, 9.75
 5,            random,20,  0.44,  0.17,         *---        |                   ,  0.30,  0.74, 0.00
#
 6,       gpt/explore,20,  0.44,  0.15, --------*       ----|--                 ,  0.30,  0.72, 204.57
 6,               TPE,30,  0.44,  0.02, --------*--         |                   ,  0.30,  0.60, 120.55
#
 7,                rrp,9,  0.45,  0.15, --------*       ----|----------         ,  0.30,  0.89, 1.13
#
 8,            random,25,  0.45,  0.07, --------*   -----   |                   ,  0.30,  0.67, 0.00
 8,               TPE,25,  0.45,  0.01, --------*--         |                   ,  0.30,  0.67, 5245.64
#
 9,            random,30,  0.45,  0.07, --------*   -----   |                   ,  0.30,  0.67, 0.04
#
10,    gemini/explore,25,  0.45,  0.06, --------*  ---------|-                  ,  0.30,  0.72, 9.39
10,       gpt/explore,25,  0.45,  0.15, --------*       ----|--                 ,  0.30,  0.75, 207.73
10,       gpt/explore,30,  0.47,  0.30,          *       ---|                   ,  0.30,  0.97, 209.03
10,           explore,30,  0.50,  0.25,            *        | ---------------   ,  0.30,  0.96, 6.78
10,           explore,20,  0.50,  0.26, --------   *        | --------------    ,  0.30,  0.94, 5.86
10,           explore,25,  0.50,  0.19, --------   *       -|----------         ,  0.30,  0.99, 4.83
#
11,         baseline,259,  0.95,  0.12,                  ---|----------     * - ,  0.30,  1.00, 0.00
