#
 0,            PI_GPM,25,  0.05,  0.01, *-                  |                   ,  0.03,  0.09, 2871.89
 0,            PI_GPM,20,  0.06,  0.02,  *                  |                   ,  0.03,  0.10, 2886.78
 0,            EI_GPM,20,  0.06,  0.01,  *                  |                   ,  0.03,  0.09, 2965.13
 0,            PI_GPM,30,  0.06,  0.02,  *-                 |                   ,  0.03,  0.10, 2407.77
 0,           UCB_GPM,25,  0.06,  0.02, -*                  |                   ,  0.03,  0.10, 2677.61
 0,            EI_GPM,25,  0.06,  0.01,  *                  |                   ,  0.03,  0.08, 7692.62
 0,           UCB_GPM,30,  0.06,  0.02, -*-                 |                   ,  0.03,  0.12, 2760.16
 0,           UCB_GPM,20,  0.06,  0.02, -*                  |                   ,  0.03,  0.09, 2874.12
 0,            EI_GPM,30,  0.06,  0.03,  *                  |                   ,  0.03,  0.09, 1714.02
#
 1,           exploit,25,  0.07,  0.28, -*          ---     |                   ,  0.03,  0.65, 21.71
 1,    gemini/exploit,25,  0.07,  0.25, -*         ---------|-----------        ,  0.04,  0.83, 85.75
 1,       gpt/exploit,20,  0.08,  0.27,  *          ----    |                   ,  0.03,  0.65, 278.35
 1,           exploit,20,  0.09,  0.23, - *       ------    |                   ,  0.03,  0.43, 16.66
 1,               TPE,20,  0.09,  0.05, - *---------        |                   ,  0.03,  0.42, 1323.08
 1,    gemini/exploit,20,  0.09,  0.22, - *       ----------|-----------        ,  0.03,  0.83, 72.99
 1,           exploit,30,  0.09,  0.27,   *         --------|-----              ,  0.04,  0.82, 7.09
 1,       gpt/exploit,30,  0.09,  0.22,  -*        ---------|----               ,  0.03,  0.82, 228.21
 1,    gemini/explore,25,  0.10,  0.28, -- *         -------|---                ,  0.04,  0.72, 76.11
 1,               TPE,30,  0.10,  0.02,  - *-               |                   ,  0.06,  0.33, 923.39
 1,            random,20,  0.11,  0.06,  - *------------    |                   ,  0.05,  0.45, 0.00
 1,               TPE,25,  0.11,  0.05,    *---------       |                   ,  0.06,  0.37, 2141.61
#
 2,            random,30,  0.11,  0.05,  - *-----           |                   ,  0.05,  0.36, 0.00
 2,            random,25,  0.12,  0.04,  --*---------       |                   ,  0.06,  0.41, 0.00
 2,       gpt/exploit,25,  0.14,  0.31,  -  *          -    |                   ,  0.04,  0.43, 285.44
 2,               rrp,13,  0.16,  0.22,  --  *      --------|-------            ,  0.06,  0.96, 13.21
#
 3,       gpt/explore,25,  0.18,  0.28,  --   *        -----|-----------        ,  0.05,  0.83, 287.78
 3,    gemini/explore,30,  0.21,  0.19,  --    *   -----    |                   ,  0.06,  0.82, 27.67
 3,       gpt/explore,30,  0.25,  0.22,  --      *  -----   |                   ,  0.04,  0.72, 226.31
#
 4,           explore,20,  0.29,  0.38,  -        *       --|-----              ,  0.07,  0.70, 21.39
 4,       gpt/explore,20,  0.30,  0.31,  --        *    ----|-----              ,  0.06,  0.83, 280.24
 4,           explore,25,  0.31,  0.33, --         *    ----|-----              ,  0.03,  0.83, 21.43
 4,           explore,30,  0.32,  0.31,  --         *   ----|-------            ,  0.03,  0.83, 6.29
 4,    gemini/exploit,30,  0.32,  0.36, -           *  -----|-----              ,  0.03,  0.82, 26.37
 4,    gemini/explore,20,  0.33,  0.16,  ---------  *    ---|-----------        ,  0.06,  0.83, 74.36
#
 5,        baseline,3840,  0.85,  0.04,                     |            * ---- ,  0.79,  1.00, 0.01
