#
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 7599.05
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2429.87
 0,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1740.08
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2910.75
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2786.85
 0,       gpt/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 225.64
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2821.23
 0,    gemini/exploit,25,  0.00,  0.00, *--------           |                   ,  0.00,  0.09, 76.47
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2721.24
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2822.66
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3074.86
 0,    gemini/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 23.86
 0,       gpt/exploit,25,  0.00,  0.00, *----               |                   ,  0.00,  0.08, 280.61
 0,           exploit,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.03, 20.37
 0,       gpt/exploit,20,  0.00,  0.01, *----               |                   ,  0.00,  0.05, 276.44
 0,           exploit,30,  0.00,  0.01, *----               |                   ,  0.00,  0.10, 5.87
 0,           exploit,25,  0.00,  0.01, *---                |                   ,  0.00,  0.08, 22.22
 0,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 0,    gemini/explore,25,  0.00,  0.02, * ----              |                   ,  0.00,  0.05, 76.52
 0,    gemini/exploit,20,  0.00,  0.01, *--                 |                   ,  0.00,  0.04, 74.09
 0,               TPE,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.03, 920.46
 0,       gpt/explore,30,  0.00,  0.00, *--                 |                   ,  0.00,  0.03, 225.38
 0,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 0,           explore,25,  0.00,  0.01, *-----              |                   ,  0.00,  0.14, 21.37
 0,               TPE,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2125.91
 0,    gemini/explore,30,  0.00,  0.00, *--                 |                   ,  0.00,  0.03, 23.41
 0,            random,25,  0.00,  0.00, *-                  |                   ,  0.00,  0.02, 0.00
 0,       gpt/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 274.24
 0,    gemini/explore,20,  0.00,  0.00, *-----              |                   ,  0.00,  0.06, 78.66
 0,               TPE,20,  0.00,  0.01, *-                  |                   ,  0.00,  0.02, 1332.43
#
 1,           explore,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.05, 22.22
 1,           explore,30,  0.00,  0.01, *-                  |                   ,  0.00,  0.02, 4.85
 1,               rrp,13,  0.00,  0.02, * ----              |                   ,  0.00,  0.32, 13.54
 1,       gpt/explore,20,  0.01,  0.01, *-----              |                   ,  0.00,  0.11, 278.72
#
 2,        baseline,3840,  0.15,  0.04, --------------    * |                   ,  0.00,  0.21, 0.02
