#
 0,           UCB_GPM,20,  0.01,  0.00, -*                  |                   ,  0.01,  0.01, 2877.61
 0,           UCB_GPM,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 2672.51
 0,            PI_GPM,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 2869.45
 0,            EI_GPM,25,  0.01,  0.00, -*                  |                   ,  0.01,  0.02, 7711.09
#
 1,           UCB_GPM,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 2635.05
 1,            EI_GPM,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 2959.81
 1,            PI_GPM,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 2822.28
#
 2,            PI_GPM,30,  0.01,  0.00, -*                  |                   ,  0.01,  0.02, 2788.85
#
 3,            EI_GPM,30,  0.01,  0.00, -*                  |                   ,  0.01,  0.01, 1945.19
 3,            random,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 0.00
 3,            random,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 0.00
 3,               TPE,30,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 951.94
 3,               TPE,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 1574.30
 3,            random,30,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 0.02
 3,    gemini/exploit,30,  0.02,  0.00, -*                  |                   ,  0.00,  0.02, 24.57
 3,    gemini/exploit,25,  0.02,  0.01,  *-                 |                   ,  0.01,  0.03, 56.08
 3,           exploit,25,  0.02,  0.00,  *--                |                   ,  0.01,  0.05, 17.08
 3,       gpt/exploit,25,  0.02,  0.01,  *                  |                   ,  0.01,  0.10, 259.01
 3,       gpt/exploit,30,  0.02,  0.01,  *---               |                   ,  0.01,  0.05, 223.46
 3,       gpt/exploit,20,  0.02,  0.00,  *----              |                   ,  0.01,  0.07, 260.24
 3,               TPE,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.05, 902.67
 3,               rrp,12,  0.02,  0.00,  *                  |                   ,  0.01,  0.03, 10.41
 3,       gpt/explore,30,  0.02,  0.00,  *---               |                   ,  0.01,  0.07, 222.50
 3,    gemini/exploit,20,  0.02,  0.00,  *---               |                   ,  0.01,  0.05, 55.76
 3,       gpt/explore,25,  0.02,  0.02,  * -                |                   ,  0.01,  0.04, 258.75
 3,    gemini/explore,30,  0.02,  0.00,  *--                |                   ,  0.01,  0.08, 25.15
 3,           exploit,30,  0.02,  0.01,  *---               |                   ,  0.01,  0.05, 8.90
 3,           explore,20,  0.02,  0.02,   * ---             |                   ,  0.01,  0.13, 18.20
 3,           explore,30,  0.02,  0.01,   *---              |                   ,  0.01,  0.13, 6.84
#
 4,    gemini/explore,20,  0.02,  0.01,   *---              |                   ,  0.00,  0.14, 55.96
 4,           exploit,20,  0.02,  0.03,   *  --             |                   ,  0.01,  0.11, 13.34
 4,    gemini/explore,25,  0.02,  0.01,   *-                |                   ,  0.01,  0.06, 56.13
 4,       gpt/explore,20,  0.03,  0.02,   *---              |                   ,  0.01,  0.08, 253.20
 4,           explore,25,  0.03,  0.02,    *----            |                   ,  0.01,  0.11, 16.28
#
 5,        baseline,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.01,  0.37, 0.04
