#
 0,           explore,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.07, 4.35
 0,             LLM++,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2067.33
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 7.34
 0,             LLM++,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2073.97
#
 1,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 7.42
 1,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1718.79
 1,           explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.10, 4.61
#
 2,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 2,               TPE,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 69.11
#
 3,               TPE,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.08, 58.18
 3,           UCB_GPM,20,  0.00,  0.01, *                   |                   ,  0.00,  0.01, 2444.10
 3,            random,20,  0.01,  0.00, *                   |                   ,  0.00,  0.08, 0.00
#
 4,         baseline,196,  0.26,  0.13, --------  *  -----  |                   ,  0.00,  1.00, 0.00
