#
 0,           UCB_GPM,30,  0.05,  0.02, -*-                 |                   ,  0.01,  0.12, 601.46
 0,             LLM++,20,  0.05,  0.00,   *                 |                   ,  0.00,  0.07, 6504.64
 0,             LLM++,30,  0.05,  0.00,   *                 |                   ,  0.03,  0.13, 5150.43
#
 1,           UCB_GPM,20,  0.07,  0.05,   * ---             |                   ,  0.01,  0.22, 2984.10
#
 2,           exploit,30,  0.08,  0.04,  --*--              |                   ,  0.02,  0.24, 7.32
 2,           explore,20,  0.10,  0.09,   - * ---           |                   ,  0.05,  0.32, 7.20
#
 3,           exploit,20,  0.11,  0.03,  -- *-              |                   ,  0.02,  0.27, 7.19
 3,           explore,30,  0.11,  0.07,   - * -             |                   ,  0.04,  0.20, 7.37
 3,               TPE,30,  0.11,  0.05,    -* -             |                   ,  0.06,  0.19, 803.20
 3,            random,30,  0.12,  0.05,  -- *----           |                   ,  0.00,  0.23, 0.00
#
 4,            random,20,  0.14,  0.07,    - * --           |                   ,  0.06,  0.27, 0.00
 4,               TPE,20,  0.17,  0.04,   --- *-            |                   ,  0.05,  0.24, 781.64
#
 5,       baseline,10000,  0.44,  0.16,          -----   *  |-----              ,  0.03,  1.00, 0.26
