#
 0,           UCB_GPM,30,  0.09,  0.05,    *-               |                   ,  0.01,  0.17, 610.76
 0,             LLM++,20,  0.09,  0.05,    * -              |                   ,  0.07,  0.21, 6483.92
#
 1,             LLM++,30,  0.12,  0.05,     *               |                   ,  0.06,  0.17, 5137.06
#
 2,           explore,20,  0.12,  0.04,   --*-----          |                   ,  0.06,  0.34, 7.37
 2,           exploit,30,  0.12,  0.05,   --* -             |                   ,  0.04,  0.23, 7.20
 2,           UCB_GPM,20,  0.13,  0.03,  -- *-              |                   ,  0.03,  0.19, 3017.90
#
 3,           explore,30,  0.14,  0.08,   --*  ---          |                   ,  0.07,  0.28, 7.41
 3,           exploit,20,  0.16,  0.09,   -- *  -           |                   ,  0.04,  0.30, 7.26
 3,            random,30,  0.16,  0.09,   -- *  -           |                   ,  0.08,  0.28, 0.00
#
 4,               TPE,30,  0.16,  0.06,       *--           |                   ,  0.07,  0.25, 820.76
#
 5,               TPE,20,  0.19,  0.08,     -  *-           |                   ,  0.07,  0.26, 762.56
#
 6,            random,20,  0.23,  0.06,     --  *---        |                   ,  0.10,  0.40, 0.00
#
 7,       baseline,10000,  0.45,  0.15,          -----   *  |----               ,  0.07,  1.00, 0.11
