#
 0,           UCB_GPM,30,  0.09,  0.05, -  *-               |                   ,  0.03,  0.13, 600.15
#
 1,           UCB_GPM,20,  0.11,  0.05,  -- *-----          |                   ,  0.03,  0.28, 2988.03
 1,           exploit,20,  0.11,  0.04,  -  *--             |                   ,  0.03,  0.19, 7.28
#
 2,           explore,20,  0.11,  0.06,     *-----          |                   ,  0.03,  0.25, 7.34
 2,           explore,30,  0.12,  0.07,  -  *----           |                   ,  0.03,  0.22, 7.26
 2,           exploit,30,  0.12,  0.04,   -- *              |                   ,  0.03,  0.19, 7.25
 2,             LLM++,30,  0.12,  0.00,  --- *-             |                   ,  0.05,  0.22, 5053.18
#
 3,             LLM++,20,  0.14,  0.04,     -*----          |                   ,  0.03,  0.23, 6415.70
 3,               TPE,30,  0.14,  0.07,    - *  --          |                   ,  0.08,  0.25, 798.54
 3,            random,30,  0.15,  0.07,   --- * -           |                   ,  0.05,  0.38, 0.00
 3,            random,20,  0.16,  0.09,     - *  ---        |                   ,  0.07,  0.30, 0.00
 3,               TPE,20,  0.17,  0.08,    --  * --         |                   ,  0.08,  0.25, 795.78
#
 4,       baseline,10000,  0.39,  0.16,           ----    * |  ----             ,  0.05,  0.81, 0.15
