#
 0,             LLM++,20,  0.20,  0.01,    *-               |                   ,  0.14,  0.28, 6374.11
 0,             LLM++,30,  0.20,  0.05,    * --             |                   ,  0.18,  0.28, 5059.31
 0,           UCB_GPM,20,  0.22,  0.07,  -- * -             |                   ,  0.14,  0.36, 2987.75
#
 1,           UCB_GPM,30,  0.22,  0.06, --  *--             |                   ,  0.13,  0.33, 539.55
#
 2,           explore,30,  0.24,  0.06,   -- *--            |                   ,  0.17,  0.32, 7.43
#
 3,           explore,20,  0.27,  0.07,    -- * -           |                   ,  0.13,  0.33, 7.34
 3,           exploit,30,  0.27,  0.04,   --- *--           |                   ,  0.17,  0.34, 7.33
 3,           exploit,20,  0.28,  0.08,    -- * --          |                   ,  0.17,  0.42, 7.31
#
 4,               TPE,20,  0.28,  0.06,      - * --         |                   ,  0.14,  0.43, 798.57
 4,               TPE,30,  0.29,  0.03,      - *-           |                   ,  0.22,  0.33, 824.89
 4,            random,30,  0.30,  0.07,      -  *----       |                   ,  0.16,  0.50, 0.00
 4,            random,20,  0.31,  0.08,     --  * ---       |                   ,  0.14,  0.43, 0.00
#
 5,       baseline,10000,  0.59,  0.13,           ------    |*------------      ,  0.14,  1.00, 0.02
