#
 0,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.08, 1.04
 0,     warm4/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.26
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.07, 1.04
 0,     warm4/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 1.51
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.51
 0,     warm4/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.07, 1.90
#
 1,            random,20,  0.02,  0.02, *-                  |                   ,  0.00,  0.12, 0.00
 1,            random,25,  0.03,  0.02,  *                  |                   ,  0.00,  0.05, 0.00
 1,            random,30,  0.03,  0.02,  *                  |                   ,  0.00,  0.05, 0.00
#
 2,                rrp,9,  0.05,  0.05,   *-                |                   ,  0.00,  0.12, 0.14
#
 3,     warm4/explore,20,  0.05,  0.07, - * --              |                   ,  0.00,  0.17, 1.99
 3,           explore,25,  0.05,  0.05, - *-                |                   ,  0.02,  0.20, 1.69
 3,     warm4/explore,30,  0.05,  0.03, - *-                |                   ,  0.02,  0.12, 2.15
 3,           explore,20,  0.07,  0.03,  -*-                |                   ,  0.02,  0.13, 1.18
 3,     warm4/explore,25,  0.07,  0.07, - * -               |                   ,  0.00,  0.20, 1.45
 3,           explore,30,  0.07,  0.02, --*-                |                   ,  0.00,  0.13, 1.32
#
 4,         baseline,192,  0.22,  0.38,   ---   *           |--------           ,  0.00,  1.00, 0.00
