#
 0,     warm4/exploit,25,  0.02,  0.06,  *   --             |                   ,  0.00,  0.19, 4.53
 0,     warm4/exploit,20,  0.02,  0.01, -*---               |                   ,  0.01,  0.07, 5.00
 0,     warm4/exploit,30,  0.03,  0.03,   *-----            |                   ,  0.00,  0.24, 3.48
#
 1,           exploit,20,  0.04,  0.04, -  * --             |                   ,  0.00,  0.10, 1.33
#
 2,           exploit,30,  0.04,  0.03,    *--              |                   ,  0.00,  0.09, 1.24
 2,            random,25,  0.05,  0.03,  - *--              |                   ,  0.00,  0.08, 0.00
 2,           exploit,25,  0.05,  0.06, -  *  --------      |                   ,  0.00,  0.19, 1.91
#
 3,            random,30,  0.06,  0.02,   - *-              |                   ,  0.02,  0.09, 0.00
 3,           explore,30,  0.06,  0.04,  --- * ----         |                   ,  0.01,  0.14, 1.59
 3,               rrp,11,  0.06,  0.03,   -  *--            |                   ,  0.02,  0.12, 0.89
 3,     warm4/explore,25,  0.06,  0.04,  --  * ---          |                   ,  0.02,  0.22, 4.29
 3,            random,20,  0.07,  0.03,  --- *---           |                   ,  0.00,  0.11, 0.00
 3,     warm4/explore,30,  0.07,  0.04,  --  *----          |                   ,  0.02,  0.14, 3.69
#
 4,           explore,20,  0.07,  0.07,   --  *  ---        |                   ,  0.01,  0.22, 1.04
 4,     warm4/explore,20,  0.08,  0.03,    -- * ------      |                   ,  0.03,  0.18, 5.50
 4,           explore,25,  0.09,  0.03,  ----  *--          |                   ,  0.02,  0.13, 1.91
#
 5,        baseline,1343,  0.20,  0.10,          ---     *  |-------            ,  0.02,  0.47, 0.00
