#
 0,     warm4/exploit,20,  0.35,  0.00,   *-----            |                   ,  0.32,  0.45, 1.70
 0,     warm4/exploit,25,  0.35,  0.02, --*------           |                   ,  0.32,  0.51, 1.42
 0,     warm4/exploit,30,  0.35,  0.05,   *  -----          |                   ,  0.32,  0.49, 1.76
 0,            random,30,  0.35,  0.03, --* ---             |                   ,  0.32,  0.45, 0.00
#
 1,           exploit,25,  0.37,  0.06,    *  ---           |                   ,  0.32,  0.46, 1.06
#
 2,     warm4/explore,25,  0.37,  0.05, -- *  ----          |                   ,  0.32,  0.46, 1.53
 2,           exploit,30,  0.37,  0.05,   -*   --           |                   ,  0.32,  0.45, 1.35
 2,     warm4/explore,20,  0.38,  0.07, --  *   --          |                   ,  0.32,  0.53, 1.21
 2,           explore,20,  0.38,  0.02,   --* --            |                   ,  0.32,  0.45, 0.69
 2,            random,25,  0.39,  0.05,   -  * --           |                   ,  0.32,  0.45, 0.00
 2,     warm4/explore,30,  0.39,  0.05, ---- *  -           |                   ,  0.32,  0.48, 1.29
 2,            random,20,  0.40,  0.05, ---   *--           |                   ,  0.32,  0.46, 0.00
 2,           exploit,20,  0.40,  0.06,   -   * -           |                   ,  0.32,  0.46, 1.11
 2,           explore,25,  0.40,  0.05,   --  * ---         |                   ,  0.32,  0.50, 0.83
 2,           explore,30,  0.40,  0.05,   -   *--           |                   ,  0.32,  0.49, 1.55
#
 3,                rrp,9,  0.45,  0.01,      ----*-----     |                   ,  0.37,  0.67, 0.20
#
 4,         baseline,196,  0.53,  0.09,         -----  *   -|-------            ,  0.32,  0.86, 0.00
