#
 0,     warm4/exploit,20,  0.23,  0.00, *---                |                   ,  0.23,  0.54, 2.08
 0,           exploit,25,  0.23,  0.09, *   ------          |                   ,  0.23,  0.45, 1.38
 0,     warm4/exploit,25,  0.23,  0.00, *                   |                   ,  0.23,  0.31, 1.84
 0,     warm4/exploit,30,  0.23,  0.00, *---                |                   ,  0.23,  0.31, 2.73
 0,           exploit,20,  0.23,  0.09, *   -------         |                   ,  0.23,  0.45, 1.27
#
 1,           exploit,30,  0.23,  0.00, *---                |                   ,  0.23,  0.61, 1.78
#
 2,     warm4/explore,20,  0.31,  0.15,     *   ---         |                   ,  0.23,  0.50, 1.87
 2,            random,30,  0.31,  0.06, ----*   -------     |                   ,  0.23,  0.55, 0.00
#
 3,            random,25,  0.38,  0.16,         *---        |                   ,  0.23,  0.51, 0.00
 3,            random,20,  0.38,  0.13, ----    *  -        |                   ,  0.23,  0.48, 0.00
 3,     warm4/explore,25,  0.38,  0.11, ----    * ----      |                   ,  0.23,  0.53, 2.04
#
 4,     warm4/explore,30,  0.38,  0.19,         * ----      |                   ,  0.23,  0.50, 2.10
#
 5,           explore,25,  0.42,  0.12,           *    -----|--                 ,  0.23,  0.70, 1.27
#
 6,                rrp,9,  0.45,  0.08, --------   *-       |                   ,  0.23,  0.58, 0.32
#
 7,           explore,30,  0.48,  0.21, --------     *     -|---                ,  0.23,  0.72, 1.79
 7,           explore,20,  0.48,  0.22, --------     *      |------             ,  0.23,  0.76, 1.29
#
 8,         baseline,259,  0.72,  0.16,             --------|     *  ---------- ,  0.23,  0.97, 0.00
