#
 0,            random,30,  0.11,  0.12,      *  ------      |                   ,  0.01,  0.28, 0.00
 0,           exploit,30,  0.13,  0.07,    -- *  ---------  |                   ,  0.02,  0.35, 2.12
#
 1,     warm4/exploit,20,  0.15,  0.17,    --   *      -----|------             ,  0.03,  0.50, 14.39
#
 2,            random,20,  0.17,  0.12,  ----   *   -----   |                   ,  0.01,  0.33, 0.00
 2,     warm4/exploit,30,  0.17,  0.15,  ----    *    ----  |                   ,  0.03,  0.49, 8.10
 2,     warm4/explore,20,  0.19,  0.21,    ---   *        --|                   ,  0.03,  0.41, 11.22
 2,           explore,20,  0.19,  0.21,   ----    *       --|                   ,  0.04,  0.54, 2.02
#
 3,            random,25,  0.21,  0.09,    -----   *  --    |                   ,  0.01,  0.34, 0.00
 3,           exploit,25,  0.23,  0.16,       -     *    -  |                   ,  0.04,  0.35, 2.17
#
 4,           explore,30,  0.23,  0.18,    ----     *    -- |                   ,  0.01,  0.47, 2.18
 4,               rrp,12,  0.23,  0.23,    ----     *       |---------------    ,  0.05,  0.65, 3.38
 4,           exploit,20,  0.26,  0.05,       ------  *-----|                   ,  0.08,  0.42, 1.95
 4,     warm4/exploit,25,  0.27,  0.21,   ---         *  ---|                   ,  0.03,  0.37, 8.25
 4,     warm4/explore,30,  0.28,  0.15,    -----       * ---|                   ,  0.05,  0.38, 7.98
 4,     warm4/explore,25,  0.30,  0.21,    ---          * --|                   ,  0.01,  0.49, 7.80
 4,           explore,25,  0.32,  0.14,      ------      * -|                   ,  0.03,  0.43, 1.94
#
 5,        baseline,2880,  0.67,  0.03,                     |             -- *- ,  0.43,  0.71, 0.00
