#
 0,     warm4/exploit,20,  0.16,  0.01, *                   |                   ,  0.16,  0.19, 9.69
 0,     warm4/exploit,25,  0.16,  0.01, *----------         |                   ,  0.16,  0.35, 6.15
 0,           exploit,30,  0.16,  0.01, *                   |                   ,  0.16,  0.18, 2.56
 0,     warm4/exploit,30,  0.17,  0.03, *------------       |                   ,  0.16,  0.39, 5.67
#
 1,           exploit,20,  0.18,  0.02,  *------------      |                   ,  0.16,  0.48, 3.09
 1,           exploit,25,  0.18,  0.02,  *----------------- |                   ,  0.16,  0.49, 2.77
 1,            random,25,  0.19,  0.02, - *-----------      |                   ,  0.16,  0.44, 0.00
 1,            random,20,  0.19,  0.01, - *-----------      |                   ,  0.16,  0.41, 0.00
 1,     warm4/explore,20,  0.19,  0.22,   *           ------|                   ,  0.16,  0.53, 7.69
 1,            random,30,  0.19,  0.02,   *                 |                   ,  0.17,  0.23, 0.00
 1,               rrp,11,  0.20,  0.02, - *----------       |                   ,  0.16,  0.39, 1.75
#
 2,     warm4/explore,25,  0.20,  0.22, - *           ------|--                 ,  0.16,  0.64, 5.99
 2,           explore,25,  0.23,  0.35,  -  *               |  ---------        ,  0.16,  0.71, 2.22
#
 3,     warm4/explore,30,  0.39,  0.32,  -           *      |---                ,  0.16,  0.73, 5.84
#
 4,           explore,20,  0.39,  0.22,  --          *  ----|------             ,  0.16,  0.71, 3.21
 4,           explore,30,  0.40,  0.07,  ------------ *  ---|--                 ,  0.17,  0.57, 2.59
#
 5,        baseline,1023,  0.65,  0.30,    -------------    |        *    ---   ,  0.16,  0.83, 0.00
