#
 0,     warm4/exploit,20,  0.00,  0.00, *--                 |                   ,  0.00,  0.10, 8.16
 0,           exploit,30,  0.00,  0.00, *--                 |                   ,  0.00,  0.11, 1.89
 0,     warm4/exploit,30,  0.00,  0.01, *--                 |                   ,  0.00,  0.10, 4.98
 0,     warm4/exploit,25,  0.00,  0.09, *  -                |                   ,  0.00,  0.10, 6.43
 0,           exploit,25,  0.00,  0.09, *                   |                   ,  0.00,  0.10, 2.37
 0,            random,30,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 0,            random,20,  0.01,  0.00, *                   |                   ,  0.00,  0.04, 0.00
 0,           exploit,20,  0.01,  0.09, *  -                |                   ,  0.00,  0.82, 2.30
 0,            random,25,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 0.00
#
 1,               rrp,11,  0.01,  0.09, *  -                |                   ,  0.00,  0.10, 1.75
 1,           explore,25,  0.01,  0.01, *---                |                   ,  0.00,  0.11, 1.57
 1,     warm4/explore,20,  0.01,  0.09, *  -                |                   ,  0.00,  0.11, 7.40
 1,     warm4/explore,25,  0.01,  0.09, *  -                |                   ,  0.00,  0.10, 5.56
 1,           explore,20,  0.02,  0.09, *                   |                   ,  0.00,  0.12, 2.24
 1,           explore,30,  0.02,  0.09, *                   |                   ,  0.00,  0.11, 2.05
 1,     warm4/explore,30,  0.10,  0.10,    *                |                   ,  0.00,  0.32, 4.97
 1,         baseline,864,  0.12,  0.21, ----*        -------|----------------   ,  0.00,  0.97, 0.00
