#
 0,     warm4/exploit,20,  0.16,  0.01, *                   |                   ,  0.16,  0.35, 7.12
 0,     warm4/exploit,25,  0.16,  0.01, *                   |                   ,  0.16,  0.18, 5.90
 0,           exploit,30,  0.16,  0.01, *-                  |                   ,  0.16,  0.38, 2.15
 0,     warm4/exploit,30,  0.16,  0.01, *------------       |                   ,  0.16,  0.38, 4.44
#
 1,           exploit,25,  0.18,  0.04,  *-----------       |                   ,  0.16,  0.40, 2.21
 1,            random,30,  0.19,  0.02,  *-----------       |                   ,  0.16,  0.39, 0.00
 1,           exploit,20,  0.20,  0.04, - *-----------------|----               ,  0.16,  0.65, 0.90
 1,            random,25,  0.20,  0.02,  -*----------       |                   ,  0.17,  0.42, 0.00
#
 2,            random,20,  0.20,  0.18,  -*          -------|-                  ,  0.16,  0.55, 0.00
#
 3,               rrp,11,  0.20,  0.19,   *          -------|--                 ,  0.16,  0.57, 0.72
#
 4,     warm4/explore,25,  0.36,  0.20,  -          * ------|------             ,  0.17,  0.68, 5.93
 4,     warm4/explore,30,  0.39,  0.21,  -            *-----|---                ,  0.16,  0.68, 4.42
 4,           explore,30,  0.40,  0.24,  --           *  ---|---                ,  0.16,  0.59, 1.57
#
 5,           explore,25,  0.40,  0.28,  --           *     |-------            ,  0.17,  0.69, 1.40
#
 6,     warm4/explore,20,  0.42,  0.26,                *  --|----               ,  0.16,  0.64, 6.26
 6,           explore,20,  0.42,  0.07, -------------  * ---|-----              ,  0.16,  0.61, 0.89
#
 7,        baseline,1023,  0.65,  0.30,    -------------    |        *    ---   ,  0.16,  0.83, 0.00
