#
 0,           exploit,30,  0.01,  0.02, -*   ----------     |                   ,  0.00,  0.06, 2.37
 0,     warm4/exploit,20,  0.01,  0.01, -* ---              |                   ,  0.00,  0.04, 16.43
 0,     warm4/explore,20,  0.02,  0.02, -  * ----           |                   ,  0.00,  0.04, 14.27
 0,           exploit,25,  0.02,  0.01, -  *----------------|-----              ,  0.00,  0.11, 2.07
 0,           explore,30,  0.02,  0.03,    *    ---         |                   ,  0.00,  0.08, 2.40
 0,     warm4/exploit,25,  0.02,  0.01, -  *---             |                   ,  0.00,  0.03, 10.41
 0,     warm4/exploit,30,  0.02,  0.02, -  * ---            |                   ,  0.00,  0.08, 9.95
#
 1,            random,30,  0.02,  0.02,    *---             |                   ,  0.00,  0.04, 0.00
 1,     warm4/explore,25,  0.02,  0.01, --- * ---           |                   ,  0.00,  0.05, 9.98
 1,            random,20,  0.02,  0.02, --  *  ---          |                   ,  0.00,  0.04, 0.00
 1,     warm4/explore,30,  0.02,  0.03, -   *   -----       |                   ,  0.00,  0.11, 10.09
 1,            random,25,  0.02,  0.01, ---- * --           |                   ,  0.00,  0.04, 0.00
 1,           exploit,20,  0.03,  0.03,       * ------------|                   ,  0.00,  0.11, 3.00
#
 2,               rrp,13,  0.03,  0.03,  ---   *   ---------|-------            ,  0.00,  0.11, 4.84
 2,           explore,25,  0.03,  0.02, ----    *------     |                   ,  0.00,  0.09, 1.98
 2,           explore,20,  0.04,  0.03,    ----  *    --    |                   ,  0.00,  0.11, 3.02
#
 3,        baseline,3840,  0.11,  0.03,   ------------------|-      *-          ,  0.00,  0.15, 0.01
