#
 0,     warm4/exploit,20,  0.03,  0.01, *---                |                   ,  0.03,  0.08, 21.63
 0,     warm4/exploit,30,  0.04,  0.01, *---                |                   ,  0.03,  0.09, 17.13
 0,     warm4/exploit,25,  0.04,  0.01, *--                 |                   ,  0.03,  0.08, 17.23
 0,            random,25,  0.04,  0.01,  *-                 |                   ,  0.03,  0.08, 0.00
 0,               rrp,13,  0.04,  0.03,  * ------------     |                   ,  0.03,  0.36, 7.76
#
 1,     warm4/explore,20,  0.05,  0.02, -*---               |                   ,  0.03,  0.09, 18.16
 1,           exploit,30,  0.05,  0.03,   *-                |                   ,  0.03,  0.11, 2.96
 1,           exploit,20,  0.05,  0.02, - *---              |                   ,  0.03,  0.09, 3.74
 1,            random,30,  0.05,  0.02, - *--               |                   ,  0.04,  0.08, 0.00
 1,           explore,25,  0.05,  0.02,   * --              |                   ,  0.03,  0.09, 2.35
 1,     warm4/explore,30,  0.05,  0.02, - *---              |                   ,  0.03,  0.12, 17.87
 1,     warm4/explore,25,  0.06,  0.03, - * --              |                   ,  0.03,  0.13, 17.62
 1,           explore,30,  0.06,  0.03, - * ----            |                   ,  0.03,  0.12, 2.97
 1,            random,20,  0.06,  0.03,   * -----           |                   ,  0.04,  0.13, 0.00
 1,           exploit,25,  0.06,  0.04,   * --              |                   ,  0.03,  0.12, 2.35
 1,           explore,20,  0.07,  0.03, --  * --------      |                   ,  0.03,  0.40, 3.26
#
 2,        baseline,5184,  0.09,  0.03,     - * ---         |                   ,  0.06,  0.19, 0.01
