#
 0,     warm4/exploit,30,  0.23,  0.00, *-                  |                   ,  0.23,  0.37, 21.91
 0,     warm4/exploit,20,  0.24,  0.01, *-------            |                   ,  0.23,  0.36, 28.23
 0,     warm4/exploit,25,  0.24,  0.01, *--                 |                   ,  0.23,  0.28, 22.29
 0,           exploit,25,  0.24,  0.03, * --                |                   ,  0.23,  0.32, 2.57
#
 1,           exploit,20,  0.24,  0.03,  * ----------       |                   ,  0.23,  0.46, 3.17
 1,           exploit,30,  0.25,  0.03,  * ---              |                   ,  0.23,  0.43, 3.24
 1,            random,25,  0.25,  0.00, -*                  |                   ,  0.23,  0.26, 0.00
#
 2,               rrp,13,  0.25,  0.02,  *---------------   |                   ,  0.23,  0.45, 8.24
 2,            random,30,  0.25,  0.01, -*                  |                   ,  0.24,  0.26, 0.00
 2,            random,20,  0.25,  0.01, -*-                 |                   ,  0.23,  0.28, 0.00
 2,     warm4/explore,20,  0.26,  0.02, - *-------          |                   ,  0.23,  0.39, 22.70
 2,     warm4/explore,30,  0.26,  0.04, - *  ------         |                   ,  0.23,  0.43, 22.25
 2,     warm4/explore,25,  0.26,  0.03,   * -               |                   ,  0.23,  0.46, 22.77
 2,           explore,25,  0.26,  0.18, - *              -  |                   ,  0.23,  0.45, 2.55
 2,           explore,20,  0.28,  0.05, -- *  -----------   |                   ,  0.23,  0.45, 3.51
#
 3,           explore,30,  0.30,  0.04,  --- *  -------     |                   ,  0.25,  0.44, 3.15
#
 4,        baseline,4608,  0.45,  0.18,   -------         * |   --------------  ,  0.23,  0.70, 0.01
