#
 0,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.07, 0.60
 0,     warm4/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 36.58
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.83
#
 1,     warm4/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 34.61
#
 2,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 1.01
#
 3,     warm4/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 35.78
#
 4,     warm4/explore,20,  0.02,  0.02, *---                |                   ,  0.02,  0.10, 35.92
#
 5,     warm4/explore,25,  0.02,  0.03, * -                 |                   ,  0.00,  0.10, 35.08
 5,            random,30,  0.02,  0.02, *                   |                   ,  0.00,  0.07, 0.00
#
 6,     warm4/explore,30,  0.02,  0.03, * -                 |                   ,  0.00,  0.08, 35.31
#
 7,            random,20,  0.03,  0.02, -*--                |                   ,  0.00,  0.10, 0.00
 7,            random,25,  0.03,  0.02,  *                  |                   ,  0.00,  0.08, 0.00
#
 8,                rrp,9,  0.05,  0.02, - *-                |                   ,  0.00,  0.13, 0.14
#
 9,           explore,20,  0.07,  0.05, --* ---             |                   ,  0.02,  0.18, 0.60
 9,           explore,25,  0.07,  0.07, - * --              |                   ,  0.00,  0.17, 0.80
 9,           explore,30,  0.07,  0.07, - * --              |                   ,  0.00,  0.18, 1.02
#
10,         baseline,192,  0.22,  0.38,   ---   *           |--------           ,  0.00,  1.00, 0.00
