#
 0,     warm4/exploit,30,  0.01,  0.02, *                   |                   ,  0.00,  0.05, 227.44
 0,     warm4/exploit,20,  0.02,  0.02,  *                  |                   ,  0.00,  0.04, 228.49
#
 1,     warm4/exploit,25,  0.02,  0.02,  *-                 |                   ,  0.00,  0.09, 227.40
 1,           exploit,30,  0.03,  0.05, - * ---             |                   ,  0.00,  0.16, 1.17
 1,     warm4/explore,20,  0.04,  0.02, - *--               |                   ,  0.00,  0.09, 224.76
 1,     warm4/explore,25,  0.04,  0.03,   *--               |                   ,  0.00,  0.09, 227.52
 1,     warm4/explore,30,  0.04,  0.01,  -*--               |                   ,  0.02,  0.09, 224.81
#
 2,           exploit,25,  0.05,  0.05,   * -               |                   ,  0.02,  0.13, 0.99
 2,           exploit,20,  0.05,  0.04, -  *---             |                   ,  0.00,  0.11, 0.70
 2,            random,20,  0.06,  0.03,  - *--              |                   ,  0.00,  0.12, 0.00
 2,            random,25,  0.06,  0.04,    *-               |                   ,  0.01,  0.10, 0.00
 2,            random,30,  0.06,  0.03,  - *-               |                   ,  0.02,  0.10, 0.00
#
 3,               rrp,11,  0.07,  0.04,     * ----          |                   ,  0.02,  0.62, 0.51
#
 4,           explore,25,  0.08,  0.05,   -- * ---          |                   ,  0.01,  0.19, 0.98
 4,           explore,20,  0.10,  0.03,   --  *--           |                   ,  0.01,  0.20, 0.70
#
 5,           explore,30,  0.11,  0.05,    -  *---          |                   ,  0.01,  0.16, 1.18
#
 6,        baseline,1343,  0.20,  0.10,       ---    *  ----|                   ,  0.02,  0.47, 0.00
