#
 0,     warm4/exploit,20,  0.00,  0.09, *  ------           |                   ,  0.00,  0.29, 221.84
 0,     warm4/exploit,25,  0.00,  0.22, *                   |                   ,  0.00,  0.25, 219.81
 0,     warm4/exploit,30,  0.00,  0.06, * -------           |                   ,  0.00,  0.22, 219.53
#
 1,           exploit,25,  0.06,  0.19,   *    --           |                   ,  0.00,  0.37, 0.68
#
 2,           exploit,30,  0.06,  0.19,   *    --           |                   ,  0.00,  0.29, 0.86
#
 3,                rrp,9,  0.22,  0.10, -----    *--        |                   ,  0.00,  0.30, 0.12
 3,           exploit,20,  0.22,  0.23,          *---       |                   ,  0.00,  0.34, 0.57
#
 4,            random,25,  0.22,  0.02,   -------*--        |                   ,  0.00,  0.36, 0.00
 4,            random,30,  0.22,  0.10,   ---    *-         |                   ,  0.00,  0.35, 0.00
 4,            random,20,  0.23,  0.09, -------  * --       |                   ,  0.00,  0.35, 0.00
#
 5,     warm4/explore,25,  0.23,  0.07, ---------*  ------  |                   ,  0.00,  0.47, 219.65
 5,     warm4/explore,30,  0.23,  0.00,          *          |                   ,  0.06,  0.28, 220.39
 5,     warm4/explore,20,  0.25,  0.13,        -- *   ----- |                   ,  0.00,  0.48, 222.72
 5,           explore,25,  0.28,  0.12,        --  *  --    |                   ,  0.00,  0.42, 0.71
 5,           explore,30,  0.28,  0.20, ---------  *        |                   ,  0.00,  0.47, 0.87
 5,           explore,20,  0.29,  0.19,   -------   *    -- |                   ,  0.00,  0.49, 0.54
#
 6,         baseline,206,  0.56,  0.23,             ------  |  *    -----       ,  0.00,  0.95, 0.00
