#
 0,     warm4/exploit,25,  0.13,  0.15, *       ---         |                   ,  0.12,  0.34, 225.73
 0,     warm4/exploit,20,  0.17,  0.15,   *                 |                   ,  0.12,  0.28, 229.00
#
 1,     warm4/exploit,30,  0.19,  0.13,    *                |                   ,  0.12,  0.34, 224.97
 1,           exploit,20,  0.21,  0.12, -   *   -           |                   ,  0.12,  0.32, 0.61
 1,            random,25,  0.22,  0.05,  --  *---           |                   ,  0.12,  0.33, 0.00
 1,           exploit,30,  0.22,  0.09, -    *--            |                   ,  0.12,  0.29, 1.06
 1,     warm4/explore,25,  0.23,  0.11, -    *  -           |                   ,  0.12,  0.30, 228.37
#
 2,           explore,30,  0.23,  0.06, ---   *-------------|                   ,  0.13,  0.69, 1.06
 2,           explore,20,  0.24,  0.15,       * --          |                   ,  0.13,  0.32, 0.61
 2,            random,30,  0.24,  0.06, ---   *-            |                   ,  0.13,  0.28, 0.00
 2,     warm4/explore,30,  0.24,  0.09, -     *---          |                   ,  0.12,  0.32, 225.65
 2,            random,20,  0.24,  0.08, --    *-            |                   ,  0.12,  0.29, 0.00
 2,     warm4/explore,20,  0.24,  0.06, ----- * --          |                   ,  0.12,  0.31, 228.69
 2,           exploit,25,  0.24,  0.12, --    *  ---        |                   ,  0.12,  0.49, 0.81
#
 3,           explore,25,  0.24,  0.08, ----  *  -          |                   ,  0.12,  0.32, 0.83
 3,               rrp,11,  0.29,  0.10,   ---    *----------|-----------        ,  0.13,  0.84, 0.31
#
 4,         baseline,756,  0.39,  0.18,         ---   *     |----------         ,  0.12,  0.71, 0.00
