#
 0,           exploit,25,  0.35,  0.04, *  ----             |                   ,  0.35,  0.48, 0.73
 0,           exploit,30,  0.35,  0.00, *------             |                   ,  0.35,  0.48, 0.93
#
 1,            random,20,  0.38,  0.04, - * ---             |                   ,  0.35,  0.45, 0.00
 1,            random,30,  0.40,  0.02, -- *---             |                   ,  0.35,  0.46, 0.00
#
 2,           exploit,20,  0.40,  0.09,    *   -            |                   ,  0.35,  0.48, 0.51
 2,            random,25,  0.41,  0.02,   - *---            |                   ,  0.35,  0.46, 0.00
 2,           explore,25,  0.41,  0.05, ---  * -            |                   ,  0.35,  0.46, 0.72
 2,           explore,30,  0.42,  0.04, ---- * -            |                   ,  0.35,  0.48, 0.86
#
 3,           explore,20,  0.44,  0.05,    -   *-           |                   ,  0.37,  0.49, 0.51
 3,     warm4/exploit,20,  0.45,  0.01,  ------*            |                   ,  0.35,  0.45, 22.19
 3,     warm4/explore,20,  0.45,  0.00,      --*            |                   ,  0.37,  0.46, 20.79
 3,     warm4/exploit,25,  0.45,  0.08, -      *            |                   ,  0.35,  0.45, 21.56
#
 4,     warm4/explore,25,  0.45,  0.00,        *            |                   ,  0.40,  0.46, 21.45
 4,     warm4/exploit,30,  0.45,  0.03,  ----  *            |                   ,  0.35,  0.45, 24.65
 4,     warm4/explore,30,  0.45,  0.00,     ---*            |                   ,  0.40,  0.46, 21.60
#
 5,                rrp,9,  0.48,  0.07,          *   -------|-----              ,  0.37,  0.70, 0.10
#
 6,         baseline,196,  0.53,  0.11,        -----  *     |-----              ,  0.35,  0.88, 0.00
