#
 0,           exploit,20,  0.33,  0.08, *    -              |                   ,  0.33,  0.44, 0.51
 0,           exploit,25,  0.33,  0.08, *    --             |                   ,  0.33,  0.50, 0.72
 0,           exploit,30,  0.33,  0.02, *-----              |                   ,  0.33,  0.47, 0.90
#
 1,            random,30,  0.38,  0.04,   *--               |                   ,  0.35,  0.45, 0.00
#
 2,            random,25,  0.41,  0.02,  --- *              |                   ,  0.33,  0.45, 0.00
#
 3,           explore,25,  0.41,  0.05,    - * ---          |                   ,  0.35,  0.53, 0.71
 3,           explore,30,  0.42,  0.04,  --  *-------       |                   ,  0.35,  0.53, 0.93
 3,            random,20,  0.42,  0.04,  --  *-             |                   ,  0.33,  0.46, 0.00
 3,           explore,20,  0.43,  0.04,   --  *--           |                   ,  0.33,  0.47, 0.51
 3,     warm4/exploit,20,  0.43,  0.00,       *             |                   ,  0.33,  0.50, 21.92
 3,     warm4/exploit,25,  0.43,  0.00,       *             |                   ,  0.35,  0.44, 21.52
 3,     warm4/exploit,30,  0.43,  0.08,       *             |                   ,  0.33,  0.43, 22.64
 3,                rrp,9,  0.44,  0.03,  ----- *-----       |                   ,  0.33,  0.70, 0.10
 3,     warm4/explore,20,  0.44,  0.01,        *            |                   ,  0.43,  0.44, 21.76
#
 4,     warm4/explore,25,  0.44,  0.01,        *            |                   ,  0.41,  0.46, 21.98
 4,     warm4/explore,30,  0.44,  0.01,     -- *            |                   ,  0.39,  0.44, 21.42
#
 5,         baseline,196,  0.54,  0.14,        ----  *      |---                ,  0.33,  0.93, 0.00
