#
 0,     warm4/exploit,20,  0.23,  0.00, *                   |                   ,  0.23,  0.31, 22.89
#
 1,     warm4/exploit,25,  0.23,  0.00, *                   |                   ,  0.23,  0.23, 23.19
#
 2,           exploit,30,  0.23,  0.00, *---------          |                   ,  0.23,  0.45, 1.06
#
 3,     warm4/exploit,30,  0.23,  0.00, *                   |                   ,  0.23,  0.31, 22.60
#
 4,           exploit,20,  0.23,  0.19, *         ----------|--                 ,  0.23,  0.75, 0.64
 4,           exploit,25,  0.23,  0.09, *   ------          |                   ,  0.23,  0.50, 0.93
#
 5,     warm4/explore,20,  0.31,  0.09,     *---------      |                   ,  0.23,  0.51, 23.76
 5,     warm4/explore,25,  0.31,  0.00, ----*---            |                   ,  0.23,  0.48, 22.00
 5,     warm4/explore,30,  0.31,  0.09,     *--------       |                   ,  0.23,  0.48, 22.52
#
 6,            random,20,  0.31,  0.06, ----*   ----        |                   ,  0.23,  0.46, 0.00
 6,            random,25,  0.31,  0.15,     *   --          |                   ,  0.23,  0.45, 0.00
#
 7,            random,30,  0.31,  0.09,     *-----          |                   ,  0.23,  0.42, 0.00
#
 8,                rrp,9,  0.38,  0.13, ----    *  --       |                   ,  0.23,  0.72, 0.16
#
 9,           explore,30,  0.45,  0.11, --------   * -------|---                ,  0.23,  0.68, 1.06
#
10,           explore,25,  0.45,  0.12, --------    * ------|                   ,  0.23,  0.66, 0.90
#
11,           explore,20,  0.51,  0.12,         -----  *    |----               ,  0.23,  0.71, 0.64
#
12,         baseline,259,  0.72,  0.16,             --------|     *  ---------- ,  0.23,  0.97, 0.00
