#
 0,           exploit,25,  0.03,  0.23,  *          -       |                   ,  0.00,  0.28, 1.21
 0,            random,30,  0.05,  0.13, - *     -----       |                   ,  0.00,  0.25, 0.00
 0,           exploit,30,  0.05,  0.23,   *         -       |                   ,  0.00,  0.28, 1.45
 0,           explore,30,  0.06,  0.22,    *        --      |                   ,  0.00,  0.28, 1.46
 0,            random,25,  0.14,  0.21, -      *    -       |                   ,  0.00,  0.27, 0.00
 0,     warm4/exploit,20,  0.22,  0.23,            *        |                   ,  0.00,  0.25, 34.89
#
 1,     warm4/explore,25,  0.23,  0.18, --          *       |                   ,  0.01,  0.26, 33.71
 1,     warm4/explore,30,  0.23,  0.19, --          *       |                   ,  0.00,  0.25, 31.89
 1,           explore,25,  0.23,  0.20, --          *--     |                   ,  0.00,  0.29, 1.19
 1,     warm4/exploit,25,  0.23,  0.21, -           *       |                   ,  0.00,  0.25, 33.39
 1,     warm4/exploit,30,  0.23,  0.22,             *       |                   ,  0.00,  0.25, 32.70
 1,               rrp,11,  0.24,  0.22, -           *---    |                   ,  0.00,  0.33, 0.63
 1,           exploit,20,  0.24,  0.24, -           *-------|                   ,  0.00,  0.38, 0.87
 1,           explore,20,  0.24,  0.20, ---         *---    |                   ,  0.00,  0.31, 0.87
 1,            random,20,  0.24,  0.12,  ------     *-      |                   ,  0.01,  0.28, 0.00
 1,     warm4/explore,20,  0.24,  0.13, ------      *-      |                   ,  0.00,  0.28, 33.72
#
 2,        baseline,1080,  0.33,  0.09,            ----  *  |-----              ,  0.00,  0.75, 0.00
